Metal,Ligand,BETA_1,BETA_2,BETA_3,BETA_4,Sass_1,Sass_2,Sass_3,Sass_4,S_1,S_2,S_3,S_4,BETA_reference,Sass_reference,S_reference
Sm+3,OH-,6.1,11.49,16.08,,,,,,,,,,"Baes & Mesmer 1976, Haas et al. 1995",,
Sn+2,OH-,10.6,20.9,25.4,,,,,,,,,,"Baes & Mesmer 1976, Shock et al. 1997",,
Sr+2,OH-,0.707,,,,7.6,,,,,,,,Baes & Mesmer 1976,Gimblett & Monk 1954,
Tb+3,OH-,6.1,11.82,16.91,,,,,,,,,,"Baes & Mesmer 1976, Haas et al. 1995",,
TcO+2,OH-,13.09,,,,,,,,,,,,Guillaumont et al. 1969,,
Th+4,OH-,10.8,,,,42.2,,,,,,,,Baes & Mesmer 1976,Baes & Mesmer 1981,
Ti+3,OH-,11.8,,,,,,,,,,,,Baes & Mesmer 1976,,
Tl+,OH-,0.79,26.39,38.7,40.97,5.1,,,,32.5,,,,"Baes & Mesmer 1976, Shock et al. 1997",Bell & George 1953,"Christensen & Izatt (1983), Bejerrum et al., (1958), Sillen & Martell (1964), See Table 8 in Shock et al., (1997)"
Tl+3,OH-,13.38,,,,,,,,,,,,Baes & Mesmer 1976,,
Tm+3,OH-,6.3,12.11,17.81,,,,,,,,,,"Baes & Mesmer 1976,  Haas et al. 1995",,
U+3,OH-,,,,,,,,,,,,,,,
U+4,OH-,13.35,,,,53.9,,,,,,,,Baes & Mesmer 1976,Baes & Mesmer 1981,
UO2+2,OH-,8.2,,,,30.3,,,,,,,,Baes & Mesmer 1976,Baes & Mesmer 1976,
V+2,OH-,7.51,,,,,,,,,,,,Podlaha & Podlahova 1964,,
V+3,OH-,11.74,21.77,,,,,,,,,,,"Baes & Mesmer 1976, Shock et al. 1997",,
VO+2,OH-,8.33,,,,,,,,,,,,Baes & Mesmer 1976,,
Y+3,OH-,6.297,11.58,16,19.5,,,,,,,,,"Baes & Mesmer 1976, Shock et al. 1997",,
Yb+3,OH-,6.3,12.25,18.14,23.3,,,,,,,,,"Baes & Mesmer 1976,  Haas et al. 1995",,
Zn+2,OH-,5.037,10.1,14.2,15.5,23.2,,,,15,-2,-16,-40,"Baes & Mesmer 1976, Shock et al. 1997",Baes & Mesmer 1981,Shock et al. 1997 regression
Zr+4,OH-,14.3,26.3,36.9,46.3,,,,,,-53.4,,,"Baes & Mesmer 1976, Shock et al. 1997",,Shock et al. 1997 regression
