name,abbrv,formula,state,ref1,ref2,date,model,E_units,G,H,S,Cp,V,a1.a,a2.b,a3.c,a4.d,c1.e,c2.f,omega.lambda,z.T,azero,neutral_ion_type,dissrxn,tag,formula_ox,category_1,category_2
Tl(O)-,Tl(O)-,Tl(O)-,aq,WORM Complicator,NA,20251219,HKF,cal,-62244.297,-69373.046,31.6,-51.524,2.22,2.458,-1.781,6.45,-2.705,-13.43,-13.53,1.151,-1,4,0,-1.0000 Tl(O)- 1.0000 H2O -2.0000 H+ 1.0000 Tl+,,Tl+ O-2,inorganic_aq,
HTl(O)2-2,HTl(O)2-2,HTl(O)2-2,aq,WORM Complicator,NA,20251219,HKF,cal,-116633.093,,,,,,,,,,,,-2,4,0,-1.0000 HTl(O)2-2 2.0000 H2O -3.0000 H+ 1.0000 Tl+,,Tl+ H+ 2O-2,inorganic_aq,
Tl(O)2-3,Tl(O)2-3,Tl(O)2-3,aq,WORM Complicator,NA,20251219,HKF,cal,-100636.918,,,,,,,,,,,,-3,4,0,-1.0000 Tl(O)2-3 2.0000 H2O -4.0000 H+ 1.0000 Tl+,,Tl+ 2O-2,inorganic_aq,
Tl(OH)+2,Tl(OH)+2,Tl(OH)+2,aq,WORM Complicator,NA,20251219,HKF,cal,-4548.533,-18824.487,-23.72,-10.159,,,,,,13.268,-5.104,1.417,2,6,0,-1.0000 Tl(OH)+2 1.0000 OH- 1.0000 Tl+3,,H+ Tl+3 O-2,inorganic_aq,
Tm(OH)+2,Tm(OH)+2,Tm(OH)+2,aq,WORM Complicator,NA,20251219,HKF,cal,-206089.713,-218366.354,-14.692,-20.451,,,,,,5.977,-7.2,1.28,2,6,0,-1.0000 Tm(OH)+2 1.0000 Tm+3 1.0000 OH-,,Tm+3 H+ O-2,inorganic_aq,
Tm(O)+,Tm(O)+,Tm(O)+,aq,WORM Complicator,NA,20251219,HKF,cal,-194922.948,-202677.743,0.498,-61.368,4.98,2.63,-1.359,6.284,-2.723,-24.786,-15.535,0.544,1,4,0,-1.0000 Tm(O)+ 1.0000 H2O 1.0000 Tm+3 -2.0000 H+,,Tm+3 O-2,inorganic_aq,
HTm(O)2,HTm(O)2,HTm(O)2,aq,WORM Complicator,NA,20251219,HKF,cal,-240294.117,-254473.9,34.688,-103.089,20.372,4.54,3.304,4.452,-2.916,-54.6,-24.034,-0.038,0,4,0,-1.0000 HTm(O)2 2.0000 H2O 1.0000 Tm+3 -3.0000 H+,,Tm+3 H+ 2O-2,inorganic_aq,
U(OH)+3,U(OH)+3,U(OH)+3,aq,WORM Complicator,NA,20251219,HKF,cal,-182457.606,-198419.321,-48.26,17.816,-2.822,2.16,-2.508,6.736,-2.675,37.891,0.595,2.31,3,9,0,-1.0000 U(OH)+3 1.0000 OH- 1.0000 U+4,,H+ U+4 O-2,inorganic_aq,
UO2(OH)+,UO2(OH)+,UO2(OH)+,aq,WORM Complicator,NA,20251219,HKF,cal,-276461.769,-300679.824,4.24,4.166,,,,,,13.099,-2.186,0.487,1,4,0,-1.0000 UO2(OH)+ 1.0000 UO2+2 1.0000 OH-,,H+ 2O- U+6 O-2,inorganic_aq,
V(OH)+,V(OH)+,V(OH)+,aq,WORM Complicator,NA,20251219,HKF,cal,-99840.443,-114112.152,-16.42,27.719,-19.389,-0.618,-9.29,9.401,-2.395,29.785,2.612,0.8,1,4,0,-1.0000 V(OH)+ 1.0000 V+2 1.0000 OH-,,V+2 H+ O-2,inorganic_aq,
