Sample,H+,Pressure,Temperature,logfO2,Na+,Mg+2,Ca+2,K+,Cl-,SO4-2,HS-,Br-,HCO3-,NO3-,SiO2,Al+3,Fe+2,Fe+3,CH4,NH4+,CO,H2,S2(g),S2-2,S2O3-2,SO3-2
,pH,bar,degC,logfO2,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality
BSW,7.8,250.0,2,-0.9831,4.64E-01,5.27E-02,1.02E-02,2.30E-03,5.46E-01,2.79E-02,1.00E-18,8.40E-07,2.30E-03,3.00E-07,1.60E-04,2.00E-08,3.00E-11,1.50E-09,3.00E-10,1.00E-12,1E-18,1E-18,1E-18,1E-18,1E-18,1E-18
basalt,6.3504,250.0,300.0,-37.244,5.3998E-01,8.4039E-07,2.1245E-03,5.2607E-03,5.4803E-01,2.1220E-14,8.1053E-03,8.6217E-07,3.5950E-08,1E-18,5.7883E-03,2.0271E-05,1.7740E-07,7.8658E-10,2.3607E-03,3.0792E-07,4.9907E-11,2.0792E-02,1.4263E-16,1.8813E-11,1.0000E-18,6.7199E-16
basaltic andesite,5.801,250.0,300.0,-32.522,5.0703E-01,5.5891E-06,1.0496E-02,1.6422E-02,5.4419E-01,2.2374E-06,3.3410E-03,8.5613E-07,2.3441E-03,1E-18,1.0362E-02,3.3641E-06,5.5026E-07,1.8475E-09,5.6520E-08,2.4306E-07,1.4440E-08,9.0719E-05,6.0844E-14,7.4812E-11,1.0389E-11,1.3049E-09
ultramafic rock,6.2896,250.0,300.0,-39.333,5.6548E-01,3.8082E-04,2.7639E-02,7.7705E-03,6.2864E-01,1.0000E-18,2.2685E-03,9.8897E-07,2.7700E-12,1E-18,1.1788E-05,1.5094E-06,8.4728E-07,7.4790E-10,2.7079E-03,3.5321E-07,4.2547E-14,2.2541E-01,1.0000E-18,1.1333E-13,1.0000E-18,1.0000E-18
