Sample,Pressure,Temperature,logfO2,H+,HCO3-,CH4
id,bar,degC,logfO2,pH,Molality,Molality
cold fluid,1000.0,2,-85.45264418294951,7.213846875687128,2.5944336169231975e-16,0.00999999999999974
hot fluid,1000.0,450,-24.00651213101671,5.535486964325698,0.009999871459819681,1.2854018031915881e-07
