Sample,H+,Pressure,Temperature,logfO2,NO3-,NH4+,Na+,Cl-,K+,Ca+2,Mg+2,SO4-2,Fe+2,Al+3,HCO3-,SiO2
id,pH,bar,degC,logfO2,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppb,ppb,"Alk., mg/L CaCO3",ppm
honnedaga-2013-06-11-1501,4.63,1.1,10.4,,7.60E-02,2.80E-02,3.40E-01,1.67E-01,8.80E-02,3.86E-01,7.00E-02,2.15,7.00E+01,5.84E+02,1.25E+00,3.00E+00
