Sample,H+,Pressure,Temperature,O2,Na+,Cl-,Ca+2,HCO3-,Pb+2
id,pH,bar,degC,ppm,ppm,mg/L,mg/L,"Alk., mg/L CaCO3",ppm
F_10.00,10,1.1,10.4,1.12E+01,5.40E+00,1.40E+01,2.73E+01,9.60E+01,9.00E-03
F_9.95,9.95,1.1,10.4,1.12E+01,5.40E+00,1.40E+01,2.73E+01,9.60E+01,9.00E-03
F_9.90,9.9,1.1,10.4,1.12E+01,5.40E+00,1.40E+01,2.73E+01,9.60E+01,9.00E-03
F_9.85,9.85,1.1,10.4,1.12E+01,5.40E+00,1.40E+01,2.73E+01,9.60E+01,9.00E-03
F_9.80,9.8,1.1,10.4,1.12E+01,5.40E+00,1.40E+01,2.73E+01,9.60E+01,9.00E-03
F_9.75,9.75,1.1,10.4,1.12E+01,5.40E+00,1.40E+01,2.73E+01,9.60E+01,9.00E-03
F_9.70,9.7,1.1,10.4,1.12E+01,5.40E+00,1.40E+01,2.73E+01,9.60E+01,9.00E-03
F_9.65,9.65,1.1,10.4,1.12E+01,5.40E+00,1.40E+01,2.73E+01,9.60E+01,9.00E-03
F_9.60,9.6,1.1,10.4,1.12E+01,5.40E+00,1.40E+01,2.73E+01,9.60E+01,9.00E-03
F_9.55,9.55,1.1,10.4,1.12E+01,5.40E+00,1.40E+01,2.73E+01,9.60E+01,9.00E-03
F_9.50,9.5,1.1,10.4,1.12E+01,5.40E+00,1.40E+01,2.73E+01,9.60E+01,9.00E-03
F_9.45,9.45,1.1,10.4,1.12E+01,5.40E+00,1.40E+01,2.73E+01,9.60E+01,9.00E-03
F_9.40,9.4,1.1,10.4,1.12E+01,5.40E+00,1.40E+01,2.73E+01,9.60E+01,9.00E-03
F_9.35,9.35,1.1,10.4,1.12E+01,5.40E+00,1.40E+01,2.73E+01,9.60E+01,9.00E-03
F_9.30,9.3,1.1,10.4,1.12E+01,5.40E+00,1.40E+01,2.73E+01,9.60E+01,9.00E-03
F_9.25,9.25,1.1,10.4,1.12E+01,5.40E+00,1.40E+01,2.73E+01,9.60E+01,9.00E-03
F_9.20,9.2,1.1,10.4,1.12E+01,5.40E+00,1.40E+01,2.73E+01,9.60E+01,9.00E-03
F_9.15,9.15,1.1,10.4,1.12E+01,5.40E+00,1.40E+01,2.73E+01,9.60E+01,9.00E-03
F_9.10,9.1,1.1,10.4,1.12E+01,5.40E+00,1.40E+01,2.73E+01,9.60E+01,9.00E-03
F_9.05,9.05,1.1,10.4,1.12E+01,5.40E+00,1.40E+01,2.73E+01,9.60E+01,9.00E-03
F_9.00,9,1.1,10.4,1.12E+01,5.40E+00,1.40E+01,2.73E+01,9.60E+01,9.00E-03
F_8.95,8.95,1.1,10.4,1.12E+01,5.40E+00,1.40E+01,2.73E+01,9.60E+01,9.00E-03
F_8.90,8.9,1.1,10.4,1.12E+01,5.40E+00,1.40E+01,2.73E+01,9.60E+01,9.00E-03
F_8.85,8.85,1.1,10.4,1.12E+01,5.40E+00,1.40E+01,2.73E+01,9.60E+01,9.00E-03
F_8.80,8.8,1.1,10.4,1.12E+01,5.40E+00,1.40E+01,2.73E+01,9.60E+01,9.00E-03
F_8.75,8.75,1.1,10.4,1.12E+01,5.40E+00,1.40E+01,2.73E+01,9.60E+01,9.00E-03
F_8.70,8.7,1.1,10.4,1.12E+01,5.40E+00,1.40E+01,2.73E+01,9.60E+01,9.00E-03
F_8.65,8.65,1.1,10.4,1.12E+01,5.40E+00,1.40E+01,2.73E+01,9.60E+01,9.00E-03
F_8.60,8.6,1.1,10.4,1.12E+01,5.40E+00,1.40E+01,2.73E+01,9.60E+01,9.00E-03
F_8.55,8.55,1.1,10.4,1.12E+01,5.40E+00,1.40E+01,2.73E+01,9.60E+01,9.00E-03
F_8.50,8.5,1.1,10.4,1.12E+01,5.40E+00,1.40E+01,2.73E+01,9.60E+01,9.00E-03
F_8.45,8.45,1.1,10.4,1.12E+01,5.40E+00,1.40E+01,2.73E+01,9.60E+01,9.00E-03
F_8.40,8.4,1.1,10.4,1.12E+01,5.40E+00,1.40E+01,2.73E+01,9.60E+01,9.00E-03
F_8.35,8.35,1.1,10.4,1.12E+01,5.40E+00,1.40E+01,2.73E+01,9.60E+01,9.00E-03
F_8.30,8.3,1.1,10.4,1.12E+01,5.40E+00,1.40E+01,2.73E+01,9.60E+01,9.00E-03
F_8.25,8.25,1.1,10.4,1.12E+01,5.40E+00,1.40E+01,2.73E+01,9.60E+01,9.00E-03
F_8.20,8.2,1.1,10.4,1.12E+01,5.40E+00,1.40E+01,2.73E+01,9.60E+01,9.00E-03
F_8.15,8.15,1.1,10.4,1.12E+01,5.40E+00,1.40E+01,2.73E+01,9.60E+01,9.00E-03
F_8.10,8.1,1.1,10.4,1.12E+01,5.40E+00,1.40E+01,2.73E+01,9.60E+01,9.00E-03
F_8.05,8.05,1.1,10.4,1.12E+01,5.40E+00,1.40E+01,2.73E+01,9.60E+01,9.00E-03
F_8.00,8,1.1,10.4,1.12E+01,5.40E+00,1.40E+01,2.73E+01,9.60E+01,9.00E-03
F_7.95,7.95,1.1,10.4,1.12E+01,5.40E+00,1.40E+01,2.73E+01,9.60E+01,9.00E-03
F_7.90,7.9,1.1,10.4,1.12E+01,5.40E+00,1.40E+01,2.73E+01,9.60E+01,9.00E-03
F_7.85,7.85,1.1,10.4,1.12E+01,5.40E+00,1.40E+01,2.73E+01,9.60E+01,9.00E-03
F_7.80,7.8,1.1,10.4,1.12E+01,5.40E+00,1.40E+01,2.73E+01,9.60E+01,9.00E-03
