Sample,pH_(input),Pressure,Temperature,O2_(input),Na+_(input),Cl-_(input),Ca+2_(input),HCO3-_(input),Pb+2_(input),CO,CO2,CO3-2,Ca+2,CaCO3,CaCl+,CaCl2,CaHCO3+,CaOH+,Cl-,ClO-,ClO2-,ClO3-,ClO4-,H+,H2,H2O,H2O2,HCO3-,HCl,HClO,HClO2,HO2-,HPbO2-,Na+,NaCl,NaOH,O2,OH-,Pb+2,PbCl+,PbCl2,PbCl3-,PbCl4-2,PbO,PbOH+,pH,aragonite,calcite,cerussite,halite,litharge,portlandite,DEFAULT,O2/H2O,charge imbalance,charge imbalance % of mean charge,charge imbalance % of total charge,ionic strength,mean charge,sigma(mz) anions,sigma(mz) cations,stoichiometric ionic strength,total charge,Ca+2_Log_ion-H+_activity_ratio,Cl-_Log_ion-H+_activity_ratio,ClO-_Log_ion-H+_activity_ratio,ClO2-_Log_ion-H+_activity_ratio,ClO3-_Log_ion-H+_activity_ratio,ClO4-_Log_ion-H+_activity_ratio,HCO3-_Log_ion-H+_activity_ratio,Na+_Log_ion-H+_activity_ratio,OH-_Log_ion-H+_activity_ratio,Pb+2_Log_ion-H+_activity_ratio,CH4(g),CO(g),CO2(g),H2(g),H2O(g),O2(g),Ca+2_total,Cl-_total,H+_total,HCO3-_total,Na+_total,O2_total,OH-_total,Pb+2_total
,pH,bar,degC,ppm,ppm,mg/L,mg/L,"Alk., mg/L CaCO3",ppm,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,pH,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,Eh_volts,Eh_volts,%,%,eq/kg.H2O,molality,eq/kg.H2O,eq/kg.H2O,eq/kg.H2O,eq/kg.H2O,molality,Log ion-H+ activity ratio,Log ion-H+ activity ratio,Log ion-H+ activity ratio,Log ion-H+ activity ratio,Log ion-H+ activity ratio,Log ion-H+ activity ratio,Log ion-H+ activity ratio,Log ion-H+ activity ratio,Log ion-H+ activity ratio,Log ion-H+ activity ratio,log_fugacity,log_fugacity,log_fugacity,log_fugacity,log_fugacity,log_fugacity,molality,molality,molality,molality,molality,molality,molality,molality
F_9.55,9.55,1.1958424984549831,10.4,1.12E+01,5.40E+00,1.40E+01,2.73E+01,9.60E+01,9.00E-03,1.8422e-55,1.4585e-06,0.00026318,0.00053513,0.00013682,7.6311e-08,1.6223e-11,9.2623e-06,4.5294e-08,0.00039483,1.4521e-21,9.8752e-32,2.4815e-27,2.4377e-27,2.9933e-10,1.3576e-47,55.364055576117075,5.2498e-20,0.0019,2.5968e-14,1.8737e-23,1.9277e-39,2.0434999999999998e-22,5.2964e-12,0.0017528,9.4546e-08,1.0946e-08,0.00035011,1.1251e-05,2.1898e-11,1.7513e-13,2.1311e-16,4.154e-20,1.1912e-23,3.3567e-10,4.3086e-08,9.55,1.57012,1.7584,-0.79724,,-6.29762,,0.695,0.695,2.5454480104e-12,0.0,0.0,0.00363076,0.0028324448023,-0.002832444801,0.0028324448036,0.00379699,0.0056648896046,15.71935,-12.98124,-30.41515,-40.5826,-36.18269,-36.19041,-12.29839,6.76523,-14.52622,8.32838,-154.61195,-51.85476,-4.56626,-43.81268,-1.98853,-0.68148,0.000681333,0.000395006,,0.00231072,0.00175286,0.000350114,0.000409895,4.34488e-08
F_9.50,9.5,1.1958424984549831,10.4,1.12E+01,5.40E+00,1.40E+01,2.73E+01,9.60E+01,9.00E-03,2.0692e-55,1.6383e-06,0.00023427,0.00054671,0.00012501,7.8146e-08,1.6634e-11,9.4896e-06,4.1314e-08,0.00039484,1.4521e-21,9.875399999999999e-32,2.4815e-27,2.4378e-27,3.3567e-10,1.3576e-47,55.364055576117075,5.2499e-20,0.001901,2.9155e-14,2.1035999999999998e-23,2.1642e-39,1.8202e-22,4.2107e-12,0.0016713,9.0267e-08,9.3084e-09,0.00035011,1.0021e-05,2.4544e-11,1.9677e-13,2.3975e-16,4.6734e-20,1.3385e-23,2.996e-10,4.312e-08,9.5,1.51928,1.70755,-0.7958,,-6.36168,,0.698,0.698,1.961494335e-12,0.0,0.0,0.00355536,0.0027743883731,-0.0027743883721,0.002774388374,0.00371555,0.0055487767461,15.62968,-12.93098,-30.36488,-40.53233,-36.13242,-36.14014,-12.2479,6.69485,-14.52621,8.279,-154.56147,-51.80428,-4.51578,-43.81268,-1.98853,-0.68148,0.000681333,0.000395006,,0.00227141,0.00167142,0.000350114,0.000367757,4.34488e-08
F_9.45,9.45,1.1958424984549831,10.4,1.12E+01,5.40E+00,1.40E+01,2.73E+01,9.60E+01,9.00E-03,2.324e-55,1.8401e-06,0.00020855,0.00055753,0.00011398,7.986e-08,1.7018e-11,9.7021e-06,3.7608e-08,0.00039484,1.4522e-21,9.8757e-32,2.4815e-27,2.4378e-27,3.7645e-10,1.3576e-47,55.364055576117075,5.2499e-20,0.0019019,3.273e-14,2.3616e-23,2.4297e-39,1.6214e-22,3.3472e-12,0.0015978,8.6395e-08,7.9359e-09,0.00035011,8.9267e-06,2.7513e-11,2.2106e-13,2.6965e-16,5.2563e-20,1.5038e-23,2.6736e-10,4.315e-08,9.45,1.46721,1.65548,-0.79452,,-6.42583,,0.701,0.701,1.5128280573e-12,0.0,0.0,0.00348884,0.0027227549067,-0.0027227549059,0.0027227549075,0.00364205,0.0054455098134,15.53912,-12.88074,-30.31464,-40.48209,-36.08218,-36.0899,-12.19747,6.62557,-14.52621,8.22956,-154.51104,-51.75385,-4.46535,-43.81268,-1.98853,-0.68148,0.000681333,0.000395006,,0.00223596,0.00159792,0.000350114,0.000329707,4.34488e-08
F_9.40,9.4,1.1958424984549831,10.4,1.12E+01,5.40E+00,1.40E+01,2.73E+01,9.60E+01,9.00E-03,2.6099e-55,2.0665e-06,0.00018568,0.00056761,0.00010371,8.1455e-08,1.7376e-11,9.8997e-06,3.4171e-08,0.00039484,1.4522e-21,9.875899999999999e-32,2.4816000000000003e-27,2.4379e-27,4.222e-10,1.3576e-47,55.364055576117075,5.2499e-20,0.0019027,3.6742e-14,2.6511e-23,2.7275e-39,1.4444e-22,2.6605e-12,0.0015315,8.2894e-08,6.783e-09,0.00035011,7.9522e-06,3.0843e-11,2.483e-13,3.0319e-16,5.9102e-20,1.6893e-23,2.3855e-10,4.3176e-08,9.4,1.41399,1.60226,-0.7934,,-6.49007,,0.704,0.704,1.1681974832e-12,0.0,0.0,0.00343012,0.0026768239539,-0.0026768239533,0.0026768239545,0.00357576,0.0053536479078,15.44772,-12.83052,-30.26443,-40.43188,-36.03197,-36.03969,-12.14709,6.55739,-14.52621,8.18004,-154.46065,-51.70347,-4.41497,-43.81268,-1.98853,-0.68148,0.000681333,0.000395006,,0.00220402,0.00153163,0.000350114,0.00029536,4.34488e-08
F_9.35,9.35,1.1958424984549831,10.4,1.12E+01,5.40E+00,1.40E+01,2.73E+01,9.60E+01,9.00E-03,2.9306000000000002e-55,2.3204e-06,0.00016534,0.00057695,9.4182e-05,8.2934e-08,1.7707e-11,1.0083e-05,3.0994e-08,0.00039484,1.4522e-21,9.8761e-32,2.4816000000000003e-27,2.4379e-27,4.7353e-10,1.3577e-47,55.364055576117075,5.2499e-20,0.0019034,4.1243e-14,2.9759e-23,3.0616e-39,1.2868e-22,2.1145e-12,0.0014718,7.9732e-08,5.8122e-09,0.00035011,7.0844e-06,3.4579e-11,2.7887e-13,3.4081e-16,6.6438e-20,1.8973e-23,2.1281e-10,4.3199e-08,9.35,1.3597,1.54797,-0.79241,,-6.5544,,0.706,0.706,9.033680921400001e-13,0.0,0.0,0.00337825,0.0026359576915,-0.002635957691,0.0026359576919,0.00351602,0.005271915383,15.35554,-12.78033,-30.21424,-40.38169,-35.98178,-35.9895,-12.09675,6.49031,-14.52621,8.13047,-154.41031,-51.65313,-4.36463,-43.81268,-1.98853,-0.68148,0.000681333,0.000395006,,0.00217528,0.00147189,0.000350114,0.000264365,4.34488e-08
F_9.30,9.3,1.1958424984549831,10.4,1.12E+01,5.40E+00,1.40E+01,2.73E+01,9.60E+01,9.00E-03,3.2905e-55,2.6054e-06,0.00014724,0.00058559,8.5383e-05,8.43e-08,1.8013e-11,1.0252e-05,2.8068e-08,0.00039484,1.4522e-21,9.8763e-32,2.4816000000000003e-27,2.4379e-27,5.3113e-10,1.3577e-47,55.364055576117075,5.2499e-20,0.001904,4.6294e-14,3.3403e-23,3.4365e-39,1.1465e-22,1.6804e-12,0.001418,7.6879e-08,4.9929e-09,0.00035011,6.3116e-06,3.8769e-11,3.1316e-13,3.8302e-16,7.4667e-20,2.1306e-23,1.8983e-10,4.3218e-08,9.3,1.30443,1.4927,-0.79154,,-6.61879,,0.709,0.709,6.996311082600001e-13,0.0,0.0,0.00333241,0.0025995911489,-0.0025995911486,0.0025995911493,0.00346222,0.0051991822978,15.26264,-12.73016,-30.16407,-40.33152,-35.93161,-35.93933,-12.04645,6.42432,-14.52621,8.08084,-154.36001,-51.60283,-4.31433,-43.81268,-1.98853,-0.68148,0.000681333,0.000395006,,0.00214944,0.00141809,0.000350114,0.000236403,4.34488e-08
F_9.25,9.25,1.1958424984549831,10.4,1.12E+01,5.40E+00,1.40E+01,2.73E+01,9.60E+01,9.00E-03,3.6942e-55,2.9251e-06,0.00013113,0.00059353,7.7281e-05,8.5557e-08,1.8294e-11,1.0408e-05,2.538e-08,0.00039485,1.4523e-21,9.8765e-32,2.4817e-27,2.4379e-27,5.9575e-10,1.3577e-47,55.364055576117075,5.2499e-20,0.0019045,5.1961e-14,3.7492e-23,3.8571999999999997e-39,1.0213999999999999e-22,1.3353e-12,0.0013696,7.4307e-08,4.2995e-09,0.00035011,5.6233e-06,4.3471e-11,3.5162e-13,4.3037e-16,8.3899e-20,2.3924e-23,1.6931e-10,4.3234e-08,9.25,1.24825,1.43653,-0.79078,,-6.68325,,0.712,0.712,5.426429704900001e-13,0.0,0.0,0.00329189,0.0025672236273,-0.002567223627,0.0025672236276,0.0034138,0.0051344472546,15.16908,-12.68001,-30.11392,-40.28137,-35.88146,-35.88918,-11.99619,6.35939,-14.52621,8.03116,-154.30975,-51.55257,-4.26407,-43.81267,-1.98853,-0.68148,0.000681333,0.000395006,,0.00212624,0.00136967,0.000350114,0.000211182,4.34488e-08
F_9.20,9.2,1.1958424984549831,10.4,1.12E+01,5.40E+00,1.40E+01,2.73E+01,9.60E+01,9.00E-03,4.1472e-55,3.2839e-06,0.00011679,0.00060083,6.9845e-05,8.6711e-08,1.8553e-11,1.0551e-05,2.2918e-08,0.00039485,1.4523e-21,9.876599999999999e-32,2.4817e-27,2.4380000000000002e-27,6.6826e-10,1.3577e-47,55.364055576117075,5.2499e-20,0.001905,5.8319e-14,4.2079e-23,4.3291e-39,9.1009e-23,1.0611e-12,0.0013261,7.199e-08,3.7113e-09,0.00035011,5.0103e-06,4.8745e-11,3.9477e-13,4.8349e-16,9.4255e-20,2.6861e-23,1.51e-10,4.3248e-08,9.2,1.19124,1.37951,-0.79012,,-6.74777,,0.715,0.715,4.2144781588e-13,0.0,0.0,0.00325603,0.0025384111654,-0.0025384111652,0.0025384111656,0.00337026,0.0050768223308,15.0749,-12.62988,-30.06379,-40.23123,-35.83133,-35.83905,-11.94595,6.2955,-14.52621,7.98143,-154.25951,-51.50233,-4.21383,-43.81267,-1.98853,-0.68148,0.000681333,0.000395006,,0.00210544,0.00132613,0.000350114,0.000188434,4.34488e-08
F_9.15,9.15,1.1958424984549831,10.4,1.12E+01,5.40E+00,1.40E+01,2.73E+01,9.60E+01,9.00E-03,4.6555e-55,3.6863e-06,0.00010403,0.00060751,6.3038e-05,8.7767e-08,1.8789e-11,1.0681e-05,2.0668e-08,0.00039485,1.4523e-21,9.8767e-32,2.4817e-27,2.4380000000000002e-27,7.4961e-10,1.3577e-47,55.364055576117075,5.2499e-20,0.0019054,6.5453e-14,4.7227e-23,4.8587e-39,8.1091e-23,8.4306e-13,0.0012869,6.9905e-08,3.211e-09,0.00035011,4.4642e-06,5.466e-11,4.4317e-13,5.4307e-16,1.0587000000000001e-19,3.0155e-23,1.3465e-10,4.3258e-08,9.15,1.13347,1.32174,-0.78955,,-6.81234,,0.718,0.718,1.818575672e-13,0.0,0.0,0.0032243,0.0025127599223,-0.0025127599222,0.0025127599223,0.00333112,0.0050255198445,14.98017,-12.57976,-30.01367,-40.18111,-35.78121,-35.78893,-11.89574,6.23261,-14.52621,7.93166,-154.2093,-51.45212,-4.16362,-43.81267,-1.98853,-0.68148,0.000681333,0.000395006,,0.00208682,0.00128699,0.000350114,0.000167914,4.34488e-08
F_9.10,9.1,1.1958424984549831,10.4,1.12E+01,5.40E+00,1.40E+01,2.73E+01,9.60E+01,9.00E-03,5.2258e-55,4.1379e-06,9.267e-05,0.0006136,5.6825e-05,8.873e-08,1.9005e-11,1.08e-05,1.8618e-08,0.00039485,1.4523e-21,9.8768e-32,2.4817e-27,2.4380000000000002e-27,8.4089e-10,1.3577e-47,55.364055576117075,5.2499e-20,0.0019058,7.3457e-14,5.3002e-23,5.4529e-39,7.2255e-23,6.6981e-13,0.0012518,6.803e-08,2.7844e-09,0.00035011,3.9778e-06,6.1296e-11,4.9746e-13,6.099e-16,1.189e-19,3.385e-23,1.2006e-10,4.3266e-08,9.1,1.07499,1.26326,-0.78906,,-6.87697,,0.721,0.72,6.9818933621e-14,0.0,0.0,0.00319619,0.0024899203624,-0.0024899203624,0.0024899203624,0.00329597,0.0049798407248,14.88491,-12.52965,-29.96356,-40.13101,-35.7311,-35.73882,-11.84556,6.1707,-14.52621,7.88185,-154.15912,-51.40194,-4.11344,-43.81267,-1.98853,-0.68148,0.000681333,0.000395006,,0.00207019,0.00125184,0.000350114,0.000149398,4.34488e-08
F_9.05,9.05,1.1958424984549831,10.4,1.12E+01,5.40E+00,1.40E+01,2.73E+01,9.60E+01,9.00E-03,5.8656e-55,4.6446e-06,8.2553e-05,0.00061915,5.1166e-05,8.9608e-08,1.9202e-11,1.0909e-05,1.6754e-08,0.00039485,1.4523e-21,9.8769e-32,2.4817e-27,2.4380000000000002e-27,9.4331e-10,1.3577e-47,55.364055576117075,5.2499e-20,0.0019061,8.2439e-14,5.9483e-23,6.1196e-39,6.438399999999999e-23,5.3213e-13,0.0012202,6.6345e-08,2.4196e-09,0.00035011,3.5445e-06,6.8739e-11,5.5835e-13,6.8486e-16,1.3352000000000001e-19,3.7994e-23,1.0704e-10,4.3272e-08,9.05,1.01588,1.20415,-0.78864,,-6.94164,,0.723,0.723,-7.6523054386e-13,-0.0,-0.0,0.00317129,0.0024695821416,-0.002469582142,0.0024695821412,0.00326442,0.0049391642832,14.78919,-12.47956,-29.91347,-40.08091,-35.681,-35.68872,-11.79539,6.10971,-14.52621,7.83201,-154.10895,-51.35177,-4.06327,-43.81267,-1.98852,-0.68148,0.000681333,0.000395006,,0.00205535,0.00122029,0.000350114,0.000132681,4.34488e-08
F_9.00,9,1.1958424984549831,10.4,1.12E+01,5.40E+00,1.40E+01,2.73E+01,9.60E+01,9.00E-03,6.5836e-55,5.2132e-06,7.3545e-05,0.0006242,4.6023e-05,9.0405e-08,1.938e-11,1.1008e-05,1.5062e-08,0.00039485,1.4523e-21,9.877e-32,2.4817e-27,2.4380000000000002e-27,1.0582e-09,1.3577e-47,55.364055576117075,5.2499e-20,0.0019064,9.2516e-14,6.675399999999999e-23,6.8676e-39,5.7372e-23,4.2272e-13,0.0011919,6.4832e-08,2.1069e-09,0.00035011,3.1584e-06,7.7087e-11,6.2665e-13,7.6894e-16,1.4991000000000002e-19,4.2643e-23,9.5426e-11,4.3275e-08,9.0,0.95619,1.14447,-0.78829,,-7.00635,,0.726,0.726,-4.5254230051000004e-13,-0.0,-0.0,0.00314921,0.0024514696078,-0.002451469608,0.0024514696075,0.00323611,0.0049029392155,14.69304,-12.42947,-29.86338,-40.03083,-35.63092,-35.63864,-11.74524,6.04961,-14.52621,7.78213,-154.0588,-51.30163,-4.01313,-43.81267,-1.98852,-0.68148,0.000681333,0.000395006,,0.00204216,0.00119198,0.000350114,0.000117573,4.34488e-08
F_8.95,8.95,1.1958424984549831,10.4,1.12E+01,5.40E+00,1.40E+01,2.73E+01,9.60E+01,9.00E-03,7.389100000000001e-55,5.851e-06,6.5523e-05,0.00062877,4.1359e-05,9.1127e-08,1.9542e-11,1.1097e-05,1.3529e-08,0.00039485,1.4524e-21,9.877099999999999e-32,2.4818e-27,2.4380000000000002e-27,1.1872e-09,1.3578e-47,55.364055576117075,5.2499e-20,0.0019066,1.0382e-13,7.491199999999999e-23,7.707e-39,5.1124e-23,3.3579e-13,0.0011665,6.3474e-08,1.8381e-09,0.00035011,2.8145e-06,8.645e-11,7.0325e-13,8.6324e-16,1.6830000000000003e-19,4.7855999999999997e-23,8.5066e-11,4.3276e-08,8.95,0.89598,1.08425,-0.78801,,-7.07111,,0.729,0.729,-2.6757979513000004e-13,-0.0,-0.0,0.00312963,0.0024353378345,-0.0024353378347,0.0024353378344,0.00321074,0.004870675669,14.5965,-12.3794,-29.81331,-39.98075,-35.58085,-35.58857,-11.69511,5.99034,-14.52621,7.73222,-154.00867,-51.2515,-3.963,-43.81267,-1.98852,-0.68148,0.000681333,0.000395006,,0.00203046,0.00116661,0.000350114,0.000103903,4.34488e-08
F_8.90,8.9,1.1958424984549831,10.4,1.12E+01,5.40E+00,1.40E+01,2.73E+01,9.60E+01,9.00E-03,8.2929e-55,6.5667e-06,5.8378e-05,0.00063292,3.7136e-05,9.1782e-08,1.9689e-11,1.1178e-05,1.2142e-08,0.00039485,1.4524e-21,9.8772e-32,2.4818e-27,2.4380000000000002e-27,1.3318e-09,1.3578e-47,55.364055576117075,5.2499e-20,0.0019069,1.1651e-13,8.4065e-23,8.6487e-39,4.5558e-23,2.6673e-13,0.0011438,6.2257e-08,1.6066e-09,0.00035011,2.508e-06,9.6951e-11,7.8915e-13,9.69e-16,1.8892000000000002e-19,5.3703e-23,7.5825e-11,4.3275e-08,8.9,0.83529,1.02356,-0.78779,,-7.13591,,0.732,0.732,-1.5822564613000002e-13,-0.0,-0.0,0.00311226,0.0024209691279,-0.002420969128,0.0024209691278,0.00318801,0.0048419382558,14.49961,-12.32933,-29.76324,-39.93068,-35.53078,-35.5385,-11.645,5.93186,-14.52621,7.68227,-153.95856,-51.20138,-3.91288,-43.81267,-1.98852,-0.68148,0.000681333,0.000395006,,0.00202011,0.00114388,0.000350114,9.15111e-05,4.34488e-08
F_8.85,8.85,1.1958424984549831,10.4,1.12E+01,5.40E+00,1.40E+01,2.73E+01,9.60E+01,9.00E-03,9.307e-55,7.3698e-06,5.2014e-05,0.00063666,3.3319e-05,9.2373e-08,1.9821e-11,1.1251e-05,1.089e-08,0.00039485,1.4524e-21,9.8772e-32,2.4818e-27,2.4381e-27,1.4942e-09,1.3578e-47,55.364055576117075,5.2499e-20,0.0019071,1.3074e-13,9.4336e-23,9.705299999999999e-39,4.0598e-23,2.1185e-13,0.0011235,6.1166e-08,1.4066e-09,0.00035011,2.235e-06,1.0873e-10,8.8549e-13,1.0876e-15,2.1204000000000003e-19,6.026e-23,6.7583e-11,4.3271e-08,8.85,0.77417,0.96245,-0.78762,,-7.20075,,0.735,0.735,-9.358377788e-14,-0.0,-0.0,0.00309684,0.0024081699418,-0.0024081699418,0.0024081699418,0.00316764,0.0048163398836,14.4024,-12.27927,-29.71318,-39.88062,-35.48072,-35.48844,-11.5949,5.87412,-14.52621,7.6323,-153.90845,-51.15128,-3.86278,-43.81267,-1.98852,-0.68148,0.000681333,0.000395006,,0.00201101,0.00112351,0.000350114,8.02524e-05,4.34488e-08
F_8.80,8.8,1.1958424984549831,10.4,1.12E+01,5.40E+00,1.40E+01,2.73E+01,9.60E+01,9.00E-03,1.0445e-54,8.2708e-06,4.6346e-05,0.00064004,2.9873e-05,9.2907e-08,1.994e-11,1.1317e-05,9.7608e-09,0.00039485,1.4524e-21,9.8773e-32,2.4818e-27,2.4381e-27,1.6763e-09,1.3578e-47,55.364055576117075,5.2499e-20,0.0019072,1.4671e-13,1.0586e-22,1.0890999999999999e-38,3.6179e-23,1.6826e-13,0.0011052,6.0188e-08,1.2334e-09,0.00035011,1.9917e-06,1.2193e-10,9.9353e-13,1.2206e-15,2.3797e-19,6.7612e-23,6.0233e-11,4.3265e-08,8.8,0.71267,0.90094,-0.7875,,-7.26563,,0.737,0.737,-5.5367386023e-14,-0.0,-0.0,0.00308315,0.0023967681541,-0.0023967681541,0.0023967681541,0.00314941,0.0047935363082,14.30491,-12.22922,-29.66313,-39.83057,-35.43067,-35.43839,-11.54481,5.81708,-14.52621,7.5823,-153.85836,-51.10119,-3.81269,-43.81267,-1.98852,-0.68148,0.000681333,0.000395006,,0.00200304,0.00110528,0.000350114,6.99925e-05,4.34488e-08
F_8.75,8.75,1.1958424984549831,10.4,1.12E+01,5.40E+00,1.40E+01,2.73E+01,9.60E+01,9.00E-03,1.1721e-54,9.2817e-06,4.1296e-05,0.00064309,2.6768e-05,9.3388e-08,2.0048e-11,1.1377e-05,8.7434e-09,0.00039485,1.4524e-21,9.8773e-32,2.4818e-27,2.4381e-27,1.8807e-09,1.3578e-47,55.364055576117075,5.2499e-20,0.0019074,1.6463e-13,1.1879e-22,1.2221e-38,3.2240999999999997e-23,1.3363e-13,0.0010889,5.9313e-08,1.0832e-09,0.00035011,1.7749e-06,1.3674e-10,1.1147e-12,1.3697e-15,2.6705e-19,7.5857e-23,5.3678e-11,4.3257e-08,8.75,0.65081,0.83908,-0.78744,,-7.33055,,0.74,0.74,-3.2763939131e-14,-0.0,-0.0,0.00307099,0.0023866106591,-0.0023866106591,0.0023866106591,0.0031331,0.0047732213182,14.20715,-12.17917,-29.61308,-39.78052,-35.38062,-35.38834,-11.49472,5.76067,-14.52621,7.53226,-153.80828,-51.05111,-3.76261,-43.81267,-1.98852,-0.68148,0.000681333,0.000395006,,0.00199611,0.00108897,0.000350114,6.0608e-05,4.34488e-08
F_8.70,8.7,1.1958424984549831,10.4,1.12E+01,5.40E+00,1.40E+01,2.73E+01,9.60E+01,9.00E-03,1.3154e-54,1.0416e-05,3.6797e-05,0.00064583,2.3971e-05,9.3821e-08,2.0145e-11,1.143e-05,7.8279e-09,0.00039485,1.4524e-21,9.8774e-32,2.4818e-27,2.4381e-27,2.11e-09,1.3578e-47,55.364055576117075,5.2499e-20,0.0019075,1.8474e-13,1.333e-22,1.3714e-38,2.8732e-23,1.0612e-13,0.0010743,5.853e-08,9.5256e-10,0.00035011,1.5817e-06,1.5334e-10,1.2505e-12,1.5369e-15,2.9964000000000005e-19,8.51e-23,4.7834e-11,4.3246e-08,8.7,0.58864,0.77691,-0.78744,,-7.39551,,0.743,0.743,-1.9385534844e-14,-0.0,-0.0,0.00306019,0.0023775612378,-0.0023775612378,0.0023775612378,0.00311851,0.0047551224755,14.10916,-12.12913,-29.56304,-39.73048,-35.33058,-35.3383,-11.44465,5.70485,-14.52621,7.4822,-153.75821,-51.00104,-3.71253,-43.81267,-1.98852,-0.68148,0.000681333,0.000395006,,0.00199015,0.00107438,0.000350114,5.19844e-05,4.34488e-08
F_8.65,8.65,1.1958424984549831,10.4,1.12E+01,5.40E+00,1.40E+01,2.73E+01,9.60E+01,9.00E-03,1.4761e-54,1.1689e-05,3.279e-05,0.0006483,2.1456e-05,9.421e-08,2.0232e-11,1.1478e-05,7.005e-09,0.00039485,1.4524e-21,9.8774e-32,2.4818e-27,2.4381e-27,2.3672e-09,1.3578e-47,55.364055576117075,5.2499e-20,0.0019077,2.073e-13,1.4956999999999998e-22,1.5388e-38,2.5606e-23,8.4268e-14,0.0010613,5.783e-08,8.3873e-10,0.00035011,1.4096e-06,1.7195e-10,1.4027e-12,1.7244e-15,3.3619e-19,9.5463e-23,4.2622e-11,4.3233e-08,8.65,0.52618,0.71446,-0.78748,,-7.46051,,0.746,0.746,-1.146348641e-14,-0.0,-0.0,0.00305059,0.0023694986722,-0.0023694986722,0.0023694986722,0.00310547,0.0047389973444,14.01096,-12.07909,-29.513,-39.68044,-35.28054,-35.28826,-11.39459,5.64959,-14.52621,7.4321,-153.70815,-50.95097,-3.66247,-43.81267,-1.98852,-0.68148,0.000681333,0.000395006,,0.00198507,0.00106134,0.000350114,4.40156e-05,4.34488e-08
F_8.60,8.6,1.1958424984549831,10.4,1.12E+01,5.40E+00,1.40E+01,2.73E+01,9.60E+01,9.00E-03,1.6564e-54,1.3117e-05,2.9219e-05,0.00065051,1.9197e-05,9.456e-08,2.0311e-11,1.1521e-05,6.2659e-09,0.00039485,1.4524e-21,9.8774e-32,2.4818e-27,2.4381e-27,2.6559e-09,1.3578e-47,55.364055576117075,5.2499e-20,0.0019078,2.3261e-13,1.6784e-22,1.7266999999999998e-38,2.2819e-23,6.6912e-14,0.0010496,5.7203e-08,7.3937e-10,0.00035011,1.2562e-06,1.9282e-10,1.5734e-12,1.9345e-15,3.7716000000000003e-19,1.0708e-22,3.7976e-11,4.3216e-08,8.6,0.46348,0.65175,-0.78757,,-7.52555,,0.749,0.749,-6.7665057584999995e-15,-0.0,-0.0,0.00304205,0.0023623150753,-0.0023623150753,0.0023623150753,0.00309381,0.0047246301506,13.91258,-12.02906,-29.46297,-39.63041,-35.23051,-35.23823,-11.34453,5.59482,-14.52621,7.38197,-153.65809,-50.90091,-3.61241,-43.81267,-1.98852,-0.68148,0.000681333,0.000395006,,0.00198082,0.00104968,0.000350114,3.66027e-05,4.34488e-08
F_8.55,8.55,1.1958424984549831,10.4,1.12E+01,5.40E+00,1.40E+01,2.73E+01,9.60E+01,9.00E-03,1.8588e-54,1.4719e-05,2.6037e-05,0.0006525,1.7168e-05,9.4874e-08,2.0381e-11,1.156e-05,5.6027e-09,0.00039485,1.4524e-21,9.8775e-32,2.4818e-27,2.4381e-27,2.9798e-09,1.3578e-47,55.364055576117075,5.2499e-20,0.0019079,2.6101e-13,1.8832999999999999e-22,1.9375e-38,2.0336999999999998e-23,5.3126e-14,0.0010392,5.6643e-08,6.5247e-10,0.00035011,1.1195e-06,2.162e-10,1.7647e-12,2.17e-15,4.2308000000000002e-19,1.2009999999999998e-22,3.3833e-11,4.3197e-08,8.55,0.40054,0.58881,-0.78772,,-7.59064,,0.751,0.751,-3.9807566964999995e-15,-0.0,-0.0,0.00303446,0.0023559144104,-0.0023559144104,0.0023559144104,0.00308339,0.0047118288208,13.81402,-11.97903,-29.41294,-39.58038,-35.18048,-35.1882,-11.29448,5.54052,-14.52621,7.33181,-153.60804,-50.85086,-3.56236,-43.81267,-1.98852,-0.68148,0.000681333,0.000395006,,0.00197735,0.00103926,0.000350114,2.96525e-05,4.34488e-08
