Sample,Temperature,Eh,O2,H+,HCO3-,Al+3,SbO2-,H2AsO4-,Ba+2,Be+2,Bi+3,B(OH)3,Br-,Cd+2,Ca+2,Ce+3,Cs+,Cl-,CrO4-2,Co+2,Cu+2,Dy+3,Er+3,Eu+2,F-,Gd+3,Ga+3,Au+,Hf+4,Ho+3,In+3,I-,Fe+2,La+3,Pb+2,Li+,Lu+3,Mg+2,Mn+2,Hg+2,MoO4-2,Nd+3,Ni+2,NbO3-,NO3-,NO2-,Pd+2,HPO4-2,Pt+2,K+,Pr+3,ReO4-,Rb+,Ru+3,Sm+3,Sc+3,SeO3-2,SiO2,Ag+,Na+,Sr+2,SO4-2,Tb+3,Tl+,Th+4,Tm+3,Sn+2,WO4-2,U+4,VO+2,Yb+3,Y+3,Zn+2,Zr+4
,degC,volts,ppm,pH,"Alk., mg/L CaCO3",ppb,ppb,ppb,ppb,ppb,ppb,ppb,ppm,ppb,ppm,ppb,ppb,ppm,ppb,ppb,ppb,ppb,ppb,ppb,ppm,ppb,ppb,ppb,ppb,ppb,ppb,ppm,ppb,ppb,ppb,ppb,ppb,ppm,ppb,ppb,ppb,ppb,ppb,ppb,ppm,ppm,ppb,ppm,ppb,ppm,ppb,ppb,ppb,ppb,ppb,ppb,ppb,ppm,ppb,ppm,ppb,ppm,ppb,ppb,ppb,ppb,ppb,ppb,ppb,ppb,ppb,ppb,ppb,ppb
SO 6058-05,11,0.5,8.3,5.6,14,750,0.12,0.39,6.9,1.4,0.01,49,0.012,0.53,120,2.9,0.019,1.8,0.5,41,14,3.3,1.5,0.46,0.1,2.8,0.03,0.0009,0.77,0.66,0.001,0.004,440,0.89,0.06,39,0.14,46,1500,0.2,0.8,2.6,70,0.01,0.03,0.02,0.02,0.001,0.02,1.5,0.48,0.001,1.4,0.02,1.3,4.5,7.6,16,0.2,1.5,290,450,0.56,0.046,0.008,0.18,0.1,0.3,0.14,0.27,0.92,19,250,0.03
WM 0426-01,13,0.62,0.6,3.4,-199,21000,0.04,1.3,5.9,3.8,0.03,70,0.032,0.83,150,41,0.11,6.3,6,61,3.4,7.7,3.3,2.3,0.1,10,0.19,0.001,0.091,1.4,0.027,0.016,33000,13,0.65,120,0.34,50,1900,0.2,0.1,29,110,0.01,0.03,0.02,0.02,0.014,0.02,1.2,6.2,0.001,4.8,0.02,8.7,14,1,51,0.2,9.2,1300,760,1.6,0.18,0.4,0.44,0.1,0.04,1.1,1.1,2.3,36,220,0.05
WM NH-C,12.5,0.19,0.3,6,-114,320,0.02,20,12,1,0.01,91,0.1,0.06,240,2.8,0.27,10,0.7,26,3.8,0.89,0.42,0.17,0.1,1,0.24,0.0005,0.011,0.19,0.001,0.033,164000,0.9,0.1,68,0.038,51,4600,0.2,0.5,2,69,0.01,0.03,0.02,0.02,0.001,0.02,12,0.43,0.007,24,0.02,0.59,5,2.6,20,0.2,460,1500,1900,0.16,0.077,0.011,0.05,0.1,0.02,0.15,0.2,0.26,7.1,33,0.05
WM 0915-02,13.5,0.14,0.8,6.6,192,12,0.055,14,15,0.1,0.01,96,0.062,0.01,140,0.1,0.11,25,2,1.3,0.8,0.031,0.021,0.007,0.1,0.031,0.025,0.0009,0.02,0.007,0.002,0.021,26000,0.042,0.08,57,0.003,41,630,0.2,0.9,0.076,6.5,0.01,0.03,0.02,0.02,0.022,0.02,3.5,0.012,0.001,6.8,0.02,0.015,4.7,0.4,17,0.2,68,2100,420,0.006,0.031,0.014,0.003,0.1,0.3,0.35,0.18,0.02,0.54,3.4,0.04
AL Sunnyside,13.5,0.17,7.1,6.4,329,13,0.01,2,11,0.1,0.01,260,0.6,0.02,88,0.05,0.099,110,1.9,1.4,2.2,0.013,0.007,0.005,0.1,0.012,0.43,0.0008,0.002,0.007,0.001,0.078,17000,0.017,0.1,46,0.002,23,470,0.2,0.3,0.035,15,0.01,0.03,0.02,0.11,0.001,0.02,3.4,0.009,0.003,5.2,0.02,0.011,6,1.2,19,0.2,360,1600,580,0.004,0.071,0.019,0.001,0.1,0.02,0.2,0.13,0.009,0.36,3.1,0.03
WM 1233-02,12.5,0.17,0.5,6.5,130,28,0.01,5.1,19,0.05,0.01,110,0.059,0.01,68,0.39,0.043,18,0.6,2.8,0.75,0.1,0.054,0.021,0.1,0.11,0.07,0.0033,0.026,0.02,0.001,0.01,10000,0.13,0.1,21,0.006,17,1300,0.2,0.53,0.24,6.2,0.01,0.03,0.02,0.02,0.014,0.02,3.1,0.051,0.002,4.8,0.02,0.058,4,0.3,15,0.2,100,370,300,0.019,0.023,0.006,0.007,0.1,0.09,0.2,0.055,0.035,0.93,2.8,0.03
WM 0931-2,13,0.19,1.3,6.4,196,9,0.02,8.2,16,0.1,0.01,100,0.053,0.01,130,0.01,0.086,32,2.3,0.75,1.1,0.005,0.006,0.002,0.1,0.006,0.03,0.0006,0.008,0.001,0.001,0.021,13000,0.007,0.1,45,0.001,46,510,0.2,0.79,0.012,2.6,0.01,0.03,0.02,0.02,0.16,0.02,3.3,0.002,0.001,6.8,0.02,0.005,5,0.45,16,0.2,77,2300,430,0.001,0.02,0.016,0.001,0.1,0.02,0.31,0.086,0.005,0.33,4.7,0.04
WM 1233-06,13,0.35,1.1,4.8,-261,6500,0.01,1.2,7.5,3.5,0.01,80,0.043,0.31,410,19,0.28,6.9,1.7,100,4.5,5.7,2.7,1.5,0.1,7.5,0.35,0.0008,1.5,1.1,0.001,0.026,115000,5.5,0.1,140,0.25,58,12000,0.2,0.1,17,94,0.01,0.03,0.02,0.02,0.001,0.02,6.9,3.3,0.001,19,0.02,5.4,5.5,1.1,21,0.2,45,1100,1600,1.2,0.25,0.018,0.34,0.1,0.02,0.35,0.73,1.8,36,240,0.07
WM 424-03,13,0.19,0.6,6.2,36,32,0.01,13,17,0.2,0.02,85,0.052,0.025,120,1.1,0.11,24,1.9,13,2,0.22,0.14,0.037,0.1,0.26,0.08,0.001,0.006,0.051,0.001,0.018,40000,0.44,0.1,65,0.012,47,1400,0.2,0.5,0.58,26,0.01,0.03,0.02,0.02,0.001,0.02,3.5,0.12,0.002,7.5,0.02,0.12,5.5,0.55,19,0.2,60,1400,530,0.036,0.034,0.023,0.018,0.1,0.03,0.35,0.11,0.081,2.9,29,0.03
WA Mitchell Power,13.5,0.28,1.2,5.7,-89,48,0.01,15,8.8,0.1,0.01,140,0.067,0.025,100,0.43,0.093,30,1.9,25,0.45,0.15,0.077,0.03,0.1,0.17,0.07,0.001,0.003,0.036,0.001,0.013,79000,0.12,0.06,40,0.008,31,780,0.2,0.2,0.39,41,0.01,0.03,0.02,0.02,0.001,0.02,4.1,0.072,0.011,6,0.02,0.096,4.3,0.4,18,0.2,100,1200,640,0.029,0.33,0.014,0.008,0.1,0.1,0.21,0.006,0.041,1.7,23,0.03
