"Sample","H+","Temperature","logfO2","Ag+","Al+3","Am+3","Ar","Au+","B(OH)3","Ba+2","Be+2","Bi+3","Br-","Ca+2","Cd+2","Ce+3","Cl-","Co+2","CrO4-2","Cs+","Cu+2","Dy+3","Er+3","Eu+2","F-","Fe+2","Ga+3","Gd+3","H2AsO4-","HCO3-","He","Hf+4","Hg+2","Ho+3","HPO4-2","I-","In+3","K+","Kr","La+3","Li+","Lu+3","Mg+2","Mn+2","MoO4-2","Na+","NbO3-","Nd+3","Ne","Ni+2","NO3-","Pb+2","Pd+2","Pm+3","Pr+3","Pt+2","Rb+","Rh+2","Rn","Ru+3","SbO2-","Sc+3","SeO3-2","SiO2","Sm+3","Sn+2","SO4-2","Sr+2","Tb+3","Tl+","Tm+3","U+4","VO+2","WO4-2","Xe","Y+3","Yb+3","Zn+2","Zr+4"
"id","pH","degC","logfO2","Molality","Molality","Molality","Molality","Molality","Molality","Molality","Molality","Molality","Molality","Molality","Molality","Molality","Molality","Molality","Molality","Molality","Molality","Molality","Molality","Molality","Molality","Molality","Molality","Molality","Molality","Molality","Molality","Molality","Molality","Molality","Molality","Molality","Molality","Molality","Molality","Molality","Molality","Molality","Molality","Molality","Molality","Molality","Molality","Molality","Molality","Molality","Molality","Molality","Molality","Molality","Molality","Molality","Molality","Molality","Molality","Molality","Molality","Molality","Molality","Molality","Molality","Molality","Molality","Molality","Molality","Molality","Molality","Molality","Molality","Molality","Molality","Molality","Molality","Molality","Molality"
