Sample,Year,Area,pH_(input),Temperature,Na+_(input),Mg+2_(input),K+_(input),Ca+2_(input),HCO3-_(input),Cl-_(input),SO4-2_(input),Br-_(input),SiO2_(input),Be+2_(input),Al+3_(input),VO+2_(input),CrO4-2_(input),Mn+2_(input),Fe+2_(input),Co+2_(input),Ni+2_(input),Cu+2_(input),Zn+2_(input),H2AsO4-_(input),SeO3-2_(input),Sr+2_(input),Cd+2_(input),SbO2-_(input),Ba+2_(input),Pressure,Al+3,AlO+,AlO2-,AlOH+2,AsO2-,AsO4-3,Ba(CO3),Ba(HCO3)+,Ba+2,BaCl+,BaOH+,Be+2,BeCl+,BeCl2,BeO,BeO2-2,BeOH+,Br-,Br3-,BrO-,BrO3-,BrO4-,Ca(CO3),Ca(HCO3)+,Ca(HSiO3)+,Ca+2,CaCl+,CaCl2,CaOH+,CaSO4,Cd+2,CdCl+,CdCl2,CdCl3-,CdCl4-2,CdO,CdO2-2,CdOH+,Cl-,ClO-,ClO2-,ClO3-,ClO4-,CO,Co+2,Co+3,CO2,CO3-2,CoCl+,CoO,CoO2-2,CoOH+,CoOH+2,Cr+2,Cr+3,Cr2O7-2,CrO+,CrO2-,CrO4-2,CrOH+2,Cu+,Cu+2,CuCl,CuCl+,CuCl2,CuCl2-,CuCl3-,CuCl3-2,CuCl4-2,CuO,CuO2-2,CuOH+,Fe+2,Fe+3,FeCl+,FeCl2,FeO,FeO+,FeO2-,FeOH+,FeOH+2,H+,H2,H2AsO3-,H2AsO4-,H2O,H2O2,H2SeO3,H2VO4-,H3VO4,HAlO2,HAsO2,HAsO4-2,HBeO2-,HBrO,HCdO2-,HCl,HClO,HCO3-,HCoO2-,HCrO2,HCrO4-,HCuO2-,HFeO2,HFeO2-,HMnO2-,HNiO2-,HO2-,HSbO2,HSe-,HSeO3-,HSeO4-,HSiO3-,HSO3-,HSO4-,HSO5-,HVO4-2,HZnO2-,K+,KBr,KCl,KHSO4,KOH,KSO4-,Mg(CO3),Mg(HCO3)+,Mg(HSiO3)+,Mg+2,MgCl+,MgOH+,MgSO4,Mn+2,Mn+3,MnCl+,MnO,MnO2-2,MnO4-,MnO4-2,MnOH+,MnSO4,Na+,NaBr,NaCl,NaHSiO3,NaOH,NaSO4-,Ni+2,NiCl+,NiO,NiO2-2,NiOH+,O2,OH-,S2O5-2,S2O6-2,S2O8-2,SbO2-,SeO3-2,SeO4-2,SiO2,SO2,SO3-2,SO4-2,Sr(CO3),Sr(HCO3)+,Sr+2,SrCl+,SrOH+,V+2,V+3,VO+,VO+2,VO2+,VO4-3,VOH+,VOH+2,Zn+2,ZnCl+,ZnCl2,ZnCl3-,ZnO,ZnO2-2,ZnOH+,pH,albite,"albite,high","albite,low",alunite,analcime,"analcime,dehydrated",andalusite,andradite,anhydrite,anorthite,anthophyllite,antigorite,aragonite,artinite,barite,boehmite,brucite,bunsenite,calcite,celestite,chalcedony,chrysotile,"clinochlore,14a",clinozoisite,coesite,corundum,cristobalite,"cristobalite,alpha","cristobalite,beta",diaspore,diopside,dolomite,enstatite,epidote,"epidote,ordered",forsterite,gibbsite,goethite,halite,hematite,huntite,jadeite,K-feldspar,kalsilite,kaolinite,kyanite,laumontite,lawsonite,magnesite,magnetite,malachite,margarite,"microcline,maximum",muscovite,nepheline,nesquehonite,None,paragonite,phlogopite,prehnite,pyrophyllite,quartz,rhodochrosite,"sanidine,high",sepiolite,siderite,sillimanite,smithsonite,spinel,strontianite,sylvite,talc,tenorite,tremolite,wairakite,wollastonite,zoisite,charge imbalance,charge imbalance % of mean charge,charge imbalance % of total charge,ionic strength,mean charge,sigma(mz) anions,sigma(mz) cations,stoichiometric ionic strength,total charge,CH4(g),CO(g),CO2(g),H2(g),H2O(g),H2S(g),O2(g),S2(g),SO2(g),Al+3_total,Ba+2_total,Be+2_total,Br-_total,Ca+2_total,Cd+2_total,Cl-_total,Co+2_total,CrO4-2_total,Cu+2_total,Fe+2_total,H+_total,H2AsO4-_total,HCO3-_total,K+_total,Mg+2_total,Mn+2_total,Na+_total,Ni+2_total,OH-_total,SbO2-_total,SeO3-2_total,SiO2_total,SO4-2_total,Sr+2_total,VO+2_total,Zn+2_total
,,,pH,degC,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,bar,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,pH,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,%,%,eq/kg.H2O,molality,eq/kg.H2O,eq/kg.H2O,eq/kg.H2O,eq/kg.H2O,molality,log_fugacity,log_fugacity,log_fugacity,log_fugacity,log_fugacity,log_fugacity,log_fugacity,log_fugacity,log_fugacity,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality
DN13CB11,-2147483648,-2147483648,6.22,73.3,0.050631218,0.000112734,0.004156191,0.001746594,0.012776809,0.041406933,0.00039975,0.0,0.002812839,6.17e-07,0.0,4.53e-08,0.0,8.06e-06,8.04e-06,0.0,0.0,2.68e-08,0.0,2.21e-05,3.8e-08,0.0,0.0,2.96e-07,4.7e-06,1.0,,,,,6.873000000000001e-27,2.374e-10,1.7631e-09,5.0026e-07,4.139e-06,5.8913e-08,1.3721e-11,2.711e-08,1.1691e-10,4.0614e-12,3.0595e-08,6.207e-17,5.5911e-07,,,,,,3.2711e-06,8.0386e-05,4.5989e-08,0.0016143,2.8654e-05,1.9336e-07,1.614e-08,1.9723e-05,,,,,,,,,0.041047,3.2419000000000003e-20,1.1737000000000001e-31,3.6059e-31,1.1365e-34,2.3426e-39,,,0.0059772,1.6804e-06,,,,,,,,,,,,,2.349e-15,2.0146e-08,6.6572e-15,1.3123e-09,3.2433e-12,6.4045e-14,2.1424e-15,3.4289e-15,2.1551e-19,2.5481e-09,2.2987e-20,2.7903e-09,6.9486e-13,5.8889e-15,1.331e-14,8.45e-22,1.9445e-18,6.5644e-07,3.9483e-08,5.5449e-15,3.2453e-10,7.2618e-07,1.9108e-35,6.8126e-27,1.4287e-05,56.7165708547245,1.6423000000000003e-19,3.2773e-18,4.1753e-08,6.466e-11,,1.3969e-24,7.8128e-06,6.5341e-11,,,3.1052e-09,3.1613000000000004e-19,0.006708,,,,3.4746e-14,7.3438e-06,2.3122e-20,2.7261e-18,,3.1767e-24,2.9597e-07,1.5596e-72,1.0552e-14,3.4461e-12,4.1668e-06,1.2154e-38,4.0625e-08,5.3098e-29,3.4824e-09,,0.0041493,,1.0511e-06,1.4448e-13,5.7885e-10,5.8382e-06,6.8542e-08,5.6302e-06,4.4397e-09,0.00010312,2.0672e-06,7.8336e-09,1.8379e-06,7.6001e-06,4.3037000000000004e-19,3.7954e-07,5.0225e-13,1.0535e-23,2.7948e-16,4.8233e-19,4.7524e-09,7.5653e-08,0.050249,,0.00032778,3.1225e-06,8.2547e-09,5.1773e-05,,,,,,7.9264e-10,3.8451e-07,2.5640999999999997e-81,1.9903e-58,1.2089e-42,2.651e-11,1.7417e-15,3.7997e-08,0.0028055,1.5312e-42,1.0796e-39,0.00032046,,,,,,4.426399999999999e-53,1.486e-39,4.5324999999999995e-32,2.8278e-22,1.3048e-14,3.5143e-15,8.8454e-53,5.7283e-35,,,,,,,,6.22,,,,,,,,3.17134,-3.3127,,,,-0.78317,,-0.17684,,-8.70502,,-0.55625,,0.83812,,,,0.09136,,0.48145,0.48145,-0.05995,,-8.21485,-0.76379,-5.75891,,,,,7.73472,-7.13685,16.64812,-9.76194,,,,,,,,-2.39186,3.45618,-6.00399,,,,,-8.02334,,,,,,1.2081,-1.86196,,,,,,,,-8.19879,-4.65249,-2.72933,,,-7.99697,,0.0094848038562,17.8174,8.9087,0.0552927,0.053233526734,-0.048491124806,0.057975928662,0.0620287,0.10646705347,-109.91328,-35.46668,-0.33423,-31.57768,-0.52888,-106.94417,-6,-172.22237,-41.40699,,4.7e-06,6.17e-07,,0.00174659,,0.0414069,,,2.68e-08,8.04e-06,0.00594146,2.21e-05,0.0127768,0.00415619,0.000112734,8.06e-06,0.0506312,,,2.96e-07,3.8e-08,0.00281284,0.00039975,,4.53e-08,
DN13CB14,-2147483648,-2147483648,6.26,78.3,0.01874312,5.02e-05,0.000718701,0.000736065,0.008010908,0.007954193,0.001540704,0.0,0.001741112,4.21e-07,1.11e-06,0.0,0.0,1.41e-06,7.14e-06,0.0,0.0,0.0,9.02e-08,2e-05,0.0,0.0,0.0,1.78e-07,6.7e-07,1.0,9.1874e-14,2.2584e-09,7.9527e-07,2.2884e-11,1.6937e-26,1.3959e-10,2.8838e-10,6.9364e-08,5.9792e-07,2.4284e-09,4.0254e-12,1.2513e-08,3.118e-11,3.0626e-13,2.9372e-08,8.2341e-17,3.7901e-07,,,,,,1.4313e-06,2.7623e-05,1.7409e-08,0.00064255,3.1016e-06,4.5921e-09,1.2314e-08,6.1329e-05,,,,,,,,,0.0079221,8.465999999999999e-21,3.7694e-32,9.650299999999999e-32,2.6728e-35,6.2884e-39,,,0.0037672,9.7145e-07,,,,,,,,,,,,,,,,,,,,,,,,,3.6768e-13,1.4225e-15,1.8783e-15,4.4422e-23,2.8084e-18,3.9584e-07,4.5842e-08,4.9933e-15,1.2119e-10,6.2838e-07,7.937800000000001e-35,1.7007e-26,1.3624e-05,56.8914654578721,2.5947e-19,,,,3.1245e-07,3.0374e-24,6.3759e-06,7.3507e-11,,,5.9512e-10,7.7796e-20,0.0042117,,,,,6.6982e-06,3.8474e-20,1.6255e-18,,5.7562e-24,1.7798e-07,,,,2.8956e-06,2.502e-37,2.2896e-07,5.3684999999999995e-28,,5.5926e-14,0.00071256,,4.6096e-08,1.8866e-13,1.5729e-10,6.0974e-06,2.8666e-08,1.9223e-06,1.6293e-09,4.2357e-05,2.1569e-07,5.6297e-09,5.6687e-06,1.2877e-06,3.7185e-20,1.8581e-08,2.3845e-13,7.3199e-24,1.2464e-16,2.0676e-19,1.4198e-09,1.0231e-07,0.018597,,2.8696e-05,8.5908e-07,4.6492e-09,0.0001162,,,,,,7.8756e-10,4.938e-07,8.8972e-79,2.5696000000000002e-56,6.674e-41,1.8626e-11,,,0.0017373,3.5415000000000005e-41,1.7588e-38,0.0013511,,,,,,,,,,,,,,3.2105e-08,4.3446e-09,1.7256e-11,2.9779e-14,5.6044e-11,3.0772e-19,5.3677e-08,6.26,1.47944,-0.1702,1.47944,-6.66738,0.37346,-5.87716,-1.34163,1.39957,-2.49187,-5.16651,,,-1.35728,,-0.15088,-0.31132,-8.79311,,-1.12704,,0.44024,,,-5.80033,-0.30785,-3.27509,0.08609,0.08609,-0.45005,0.67223,-9.1496,-1.88164,-6.20034,4.04082,4.03509,,1.25431,7.57529,-8.96935,16.37876,,-1.96012,2.90686,-3.00203,5.48746,-1.09124,1.99044,-0.71029,-2.93503,3.16482,,-0.68982,2.91942,8.42055,-4.2777,-8.80767,,5.70764,-7.44251,-4.66866,5.23144,0.81021,-3.06387,1.4653,,,-1.78879,-5.62764,,,,-6.44296,,,-2.7671,-8.48127,-5.85598,0.0057270215743,32.076,16.038,0.0198998,0.017854512305,-0.014991001518,0.020718023092,0.0242702,0.03570902461,-108.19023,-35.03629,-0.51112,-30.96771,-0.4379,-104.33577,-6,-167.85944,-40.00003,1.11e-06,6.7e-07,4.21e-07,,0.000736065,,0.00795419,,,,7.14e-06,0.00373658,2e-05,0.00801091,0.000718701,5.02e-05,1.41e-06,0.0187431,,,1.78e-07,,0.00174111,0.0015407,,,9.02e-08
DNCB15-07,-2147483648,-2147483648,6.39,72.6,0.0,0.0,0.0,0.0,0.0,0.041406933,0.0,3.73e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,3.73e-05,2.5471000000000004e-25,7.381e-20,2.4799e-34,8.6912e-53,,,,,,,,,,,,,,,,,0.041407,3.1621e-20,1.1116e-31,3.5051e-31,1.1148e-34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.6602e-07,1.5784e-35,,,56.6927520793215,1.5407000000000002e-19,,,,,,,,4.0546e-18,,2.2731e-09,2.2328000000000004e-19,,,,,,,,,,4.07e-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0172e-10,5.1259e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.041444244294,-199.9955,-99.9978,0.0207226,0.02072258817,-0.041444710317,4.6602285811e-07,0.0207221,0.04144517634,,,,-31.66399,-0.54127,,-6,,,,,,3.73e-05,,,0.0414069,,,,,,,,,,,,,4.42939e-08,,,,,,,
DNCB15-08,-2147483648,-2147483648,6.4,69.9,0.056546893,0.000183501,0.005087178,0.002849444,0.013199643,0.058669224,0.000479908,5.11e-05,0.0,1.36e-06,7.41e-08,0.0,0.0,1.03e-05,1.99e-05,0.0,0.0,0.0,1.04e-07,2.47e-05,2.91e-08,5.82e-05,0.0,3.32e-07,6.38e-06,1.0,1.1862e-14,1.5293e-10,5.5439e-08,2.2016e-12,3.2283000000000002e-27,5.9202e-10,3.668e-09,7.0143e-07,5.5778e-06,9.7115e-08,1.9933e-11,4.5025e-08,1.4175e-10,5.73e-12,8.7938e-08,3.2646e-16,1.2266e-06,5.096e-05,5.791900000000001e-25,9.3528e-20,2.9187e-34,8.175899999999999e-53,8.2489e-06,0.0001442,,0.0026072,5.8018e-05,5.4329e-07,2.9014e-08,3.1204e-05,,,,,,,,,0.058122,3.7288e-20,1.1689e-31,4.0788e-31,1.403e-34,6.736399999999999e-40,,,0.0047309,3.2485e-06,,,,,,,,,,,,,,,,,,,,,,,,,8.7527e-13,7.235e-15,2.1307e-14,1.2973e-21,3.5605e-18,1.3195e-06,1.3152e-07,8.4519e-15,5.1088e-10,4.8574e-07,7.1081e-36,3.1827e-27,1.3059e-05,56.6023071259102,1.1934e-19,7.0244e-19,,,1.8506e-08,4.588300000000001e-25,1.164e-05,2.6391e-10,4.7998e-18,,2.8365e-09,2.4223000000000004e-19,0.0082919,,,,,1.8448e-05,6.015e-20,6.5804e-18,,3.2807e-24,3.3196e-07,8.6852e-74,3.6238e-15,1.4904e-12,,3.2453e-39,2.6782e-08,2.3319e-29,,5.2339e-14,0.0050781,6.6565e-09,1.6086e-06,1.0139e-13,8.6063e-10,7.4791e-06,1.7877e-07,1.0168e-05,,0.0001659,4.3046e-06,1.4734e-08,2.9309e-06,9.6229e-06,4.674500000000001e-19,5.7757e-07,9.068e-13,3.3383e-23,8.2608e-16,2.1405e-18,7.1e-09,9.2435e-08,0.056006,1.3309e-07,0.00048066,,1.1456e-08,6.0334e-05,,,,,,8.0046e-10,5.0365e-07,1.9615e-82,3.0343999999999997e-59,3.3358e-43,4.1888e-11,9.7962e-16,2.9099e-08,,2.4123e-43,4.9572999999999995e-40,0.00037784,5.5645e-08,1.0036e-05,4.7009e-05,1.0989e-06,2.1301e-10,,,,,,,,,4.2289e-08,1.9552e-08,4.8698e-10,6.7168e-12,4.1099e-11,3.8612e-19,4.1625e-08,6.4,,,,,,,,,-3.01752,,,,-0.15293,,0.06072,-2.11361,-8.02218,,0.07177,-2.73954,,,,,,-6.93536,,,,-1.10358,,0.47742,,,,,-0.43868,8.43099,-6.78637,18.00686,-7.31036,,,,,,,,-1.78133,5.41729,,,,,,-7.25546,,,,,,,-1.37653,,,,,-5.11051,,0.02747,-7.74729,,,,,,,-0.00034470788223,-0.5133,-0.2566,0.0703875,0.067159346006,-0.067331699947,0.066986992065,0.0763418,0.13431869201,-111.35891,-36.0104,-0.45437,-32.00317,-0.59238,-108.61561,-6,-174.96949,-42.24032,7.41e-08,6.38e-06,1.36e-06,5.11e-05,0.00284944,,0.0586692,,,,1.99e-05,0.00466743,2.47e-05,0.0131996,0.00508718,0.000183501,1.03e-05,0.0565469,,,3.32e-07,2.91e-08,,0.000479908,5.82e-05,,1.04e-07
DNCB15-09,-2147483648,-2147483648,6.64,69.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2929e-07,7.252599999999999e-36,,,56.6023071259102,1.1962e-19,,,,,,,,,,,,,,,,,,,,,4.5612e-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.1487e-10,6.8796e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.5867466621e-07,-100.0112,-50.0056,4.58623e-07,4.586232201e-07,-6.8796055321e-07,2.29285887e-07,2.29337e-07,9.172464402e-07,,,,-32.00218,-0.59138,,-6,,,,,,,,,,,,,,,,,,,,,,4.58675e-07,,,,,,,
DNCB15-9b,-2147483648,-2147483648,6.4,78.0,0.0,0.0,0.0,0.0,0.0,0.007925987,0.0,1.26e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,1.26e-05,9.1933e-27,2.888e-20,1.1207e-34,6.0869e-53,,,,,,,,,,,,,,,,,0.007926,8.365399999999999e-21,3.6793e-32,9.5217e-32,2.6429000000000003e-35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.2719e-07,7.3352e-35,,,56.8809413699193,2.5271000000000004e-19,,,,,,,,1.5631e-18,,4.6551e-10,5.996400000000001e-20,,,,,,,,,,7.1541e-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.915e-10,6.2293e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0079387852751,-199.9785,-99.9892,0.00396982,0.0039698198295,-0.007939212467,4.2719196037e-07,0.00396939,0.007939639659,,,,-31.00352,-0.44301,,-6,,,,,,1.26e-05,,,0.00792599,,,,,,,,,,,,,1.95275e-07,,,,,,,
DNCB15-10,-2147483648,-2147483648,6.84,88.9,0.024445657,7.32e-05,0.001227675,0.001167972,0.010603637,0.01317519,0.00196752,1.53e-05,0.0,9.59e-07,4.45e-07,0.0,0.0,2e-06,1.09e-05,0.0,0.0,0.0,9.33e-08,3.52e-05,0.0,2.9e-05,0.0,3.24e-07,1.12e-06,1.0,5.039e-17,4.0416e-11,4.14e-07,7.6778e-14,1.0864e-25,2.3289e-09,3.6633e-09,2.4753e-07,8.6219e-07,6.5691e-09,4.5896e-11,4.6099e-09,1.0547e-10,2.6057e-12,2.7443e-07,2.8874e-14,6.7636e-07,1.5274e-05,1.3414000000000001e-27,4.6456000000000003e-20,2.3776e-34,3.0086999999999996e-52,1.8631e-05,8.6838e-05,,0.00095042,8.2911e-06,1.8414e-08,1.3653e-07,0.00010363,,,,,,,,,0.013101,2.5328e-20,1.7161e-31,3.0403e-31,6.6206e-35,6.642499999999999e-38,,,0.0020654,8.113e-06,,,,,,,,,,,,,,,,,,,,,,,,,3.718e-14,1.5053e-17,3.3008e-16,3.4141e-23,1.1307e-17,1.0367e-07,4.2852e-07,2.9844e-15,6.8288e-12,1.6905e-07,1.3942000000000001e-33,1.0959e-25,1.2512e-05,57.2913216296787,6.507100000000001e-19,,,,3.0956e-08,4.0567e-24,2.2685e-05,3.4936e-09,7.395300000000001e-19,,2.6276e-10,5.6556e-20,0.0084086,,,,,1.0368e-05,7.581100000000001e-19,5.4177e-16,,6.9314e-23,3.2383e-07,,,,,1.4346999999999999e-36,9.5465e-08,7.3612e-28,,2.0911e-12,0.0012147,7.6649e-10,1.5612e-07,1.721e-13,1.7041e-09,1.2811e-05,3.2345e-07,5.6685e-06,,5.7693e-05,5.09e-07,5.2909e-08,8.9532e-06,1.7679e-06,9.0407e-21,5.2164e-08,1.3685e-11,1.7555e-20,2.3136e-14,1.8644e-16,1.2345e-08,1.6756e-07,0.024192,2.5049e-08,6.489e-05,,3.6293e-08,0.00018859,,,,,,7.7242e-10,3.0288e-06,2.8344000000000003e-77,1.1064e-55,5.1668e-41,1.6761e-10,,,,7.1278e-41,3.3171e-37,0.0016533,1.4939e-07,9.5986e-06,1.9074e-05,1.7721e-07,1.2184e-09,,,,,,,,,6.7794e-09,2.3684e-09,1.4256e-11,3.6611e-14,4.4486e-10,6.8017e-17,8.3691e-08,6.84,,,,,,,,,-2.02016,,,,0.48849,,0.05655,-2.11534,-6.20768,,0.72591,-1.84809,,,,,,-6.80945,,,,-1.16501,,1.83667,,,,,-0.69159,7.70593,-8.71152,16.74796,-4.45259,,,,,,,,-1.06158,3.95541,,,,,,-7.48785,,,,,,,-1.35698,,,,,-5.28454,,0.53007,,,,,,,,0.0024681514597,9.3685,4.6843,0.029059,0.026345074836,-0.025110999106,0.027579150566,0.0322528,0.052690149673,-104.56025,-34.01655,-0.7206,-29.73556,-0.25631,-101.52096,-6,-163.95251,-39.6142,4.45e-07,1.12e-06,9.59e-07,1.53e-05,0.00116797,,0.0131752,,,,1.09e-05,0.00198763,3.52e-05,0.0106036,0.00122767,7.32e-05,2e-06,0.0244457,,,3.24e-07,,,0.00196752,2.9e-05,,9.33e-08
DN13CB04,-2147483648,-2147483648,6.32,17.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.7891e-07,1.1734e-43,,,55.4200460598778,3.1181e-22,,,,,,,,,,,,,,,,,,,,,9.4992e-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4731e-09,1.1448e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.6745768575e-07,190.6613,95.3307,2.45177e-07,2.451769662e-07,-1.1448123326e-08,4.7890580908e-07,2.33729e-07,4.903539324e-07,,,,-39.85121,-1.78643,,-6,,,,,,,,,,,,,,4.67458e-07,,,,,,,,,,,,,,,
