,Year,Area,H+,Temperature,logfO2,HCO3-,SiO2,F-,Cl-,Br-,SO4-2,NO2-,NO3-,Li+,Na+,NH4+,K+,Mg+2,Ca+2,Fe+2,HS-
,,,pH,degC,logfO2,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality
120119B,,,10.1,24,-6,0.0000662,0.00000595,2.25E-07,0.004274568,0.0000025,0.000117331,0.000000429,2.58E-05,0.000000638,0.002305565,,0.0000796,0.0000326,0.00114,,0.000000454
140111H,,,10.2,20.2,-6,0.00179646,0.000145,0.00000255,0.00308,0.00000189,0.000182,0.000000161,0.0000125,0.00000129,0.00359,0.0000038,0.0000794,0.00117,0.000214,0.000000179,0.00000122
100113AN,,,10.2,28.6,-6,0.001655988,0.000156558,0.000000597,0.00331571,,0.00039851,,6.61E-05,0.00000811,0.003834128,,0.000105935,0.001432627,0.002170767,,0.00000136
100109W,,,10.3,20.8,-6,0.001930292,0.000119172,0.000000858,0.003347067,,0.00020801,0.000000665,,0.00000815,0.004146863,,0.0000681,0.001191524,0.00027197,,
140110D,,,10.4,21.8,-6,0.00081233,0.0000914,0.000000309,0.00479,0.0000047,0.00018,,0.0000268,0.000000231,0.00492,0.00000661,0.000139,0.000782,0.000475,0.000000179,0.00000131
100113AO,,,10.4,27.4,-6,0.001396959,0.000138007,0.000000463,0.003556825,,0.000362142,,3.87E-05,0.00000817,0.004179408,1.12E-05,0.000108352,0.001298087,0.000518988,,0.000000756
090120X,,,10.6,27.7,-6,0.000148798,0.000186003,1.74E-07,0.005402629,2.45E-06,0.000430744,,,0.000000753,0.005046593,,0.000116373,0.00080971,0.000948104,,
090117J,,,10.6,18.8,-6,0.001778175,0.000104182,2.28E-06,0.004438191,2.42E-06,0.000204249,,5.16E-05,0.00000229,0.005158817,9.98E-06,0.000111565,0.000994446,0.0000419,,
120116R,,,10.6,25.8,-6,0.000756171,0.0000834,4.21E-08,0.003511778,0.000000833,0.000265755,0.000000484,2.58E-05,0.00000236,0.004260171,7.63E-06,0.00011781,0.00080683,0.000192,,0.000000968
090123G,,,10.6,27.6,-6,0.000592473,0.000175998,,0.003541197,1.73E-06,0.000356051,,,0.00000177,0.003936708,,0.000119417,0.001534664,0.000603792,,
