Sample,Year,Temperature,Pressure,pH_(input),HCO3-_(input),O2_(input),HS-_(input),SiO2_(input),CH4_(input),H2_(input),CO_(input),F-_(input),Cl-_(input),Br-_(input),SO4-2_(input),HPO4-2_(input),NO2-_(input),NO3-_(input),Li+_(input),Na+_(input),NH4+_(input),K+_(input),Mg+2_(input),Ca+2_(input),Be+2_(input),B(OH)3_(input),Al+3_(input),Ti+4,VO+2_(input),CrO4-2_(input),Mn+2_(input),Co+2_(input),Ni+2_(input),Cu+2_(input),Zn+2_(input),Ga+3_(input),H2AsO4-_(input),Rb+_(input),Sr+2_(input),Y+3_(input),Zr+4_(input),NbO3-_(input),MoO4-2_(input),Cd+2_(input),Sn+2_(input),SbO2-_(input),Cs+_(input),Ba+2_(input),La+3_(input),Hf+4_(input),WO4-2_(input),Tl+_(input),Pb+2_(input),Th+4_(input),U+4_(input),Fe+2_(input),Fe+3_(input),Al+3,AlO+,AlO2-,AlOH+2,AsO2-,AsO4-3,B(OH)3,BF4-,BO2-,Ba+2,BaCl+,BaF+,BaOH+,Be+2,BeCl+,BeCl2,BeF+,BeF2,BeF3-,BeF4-2,BeO,BeO2-2,BeOH+,Br-,Br3-,BrO-,BrO3-,BrO4-,CH4,CO,CO2,CO3-2,Ca+2,CaCO3,CaCl+,CaCl2,CaF+,CaHCO3+,CaHSiO3+,CaOH+,CaSO4,Cd+2,CdCl+,CdCl2,CdCl3-,CdCl4-2,CdF+,CdF2,CdO,CdO2-2,CdOH+,Cl-,ClO-,ClO2-,ClO3-,ClO4-,Co+2,Co+3,CoCl+,CoF+,CoO,CoO2-2,CoOH+,CoOH+2,Cr+2,Cr+3,Cr2O7-2,CrO+,CrO2-,CrO4-2,CrOH+2,Cs+,CsBr,CsCl,CsOH,Cu+,Cu+2,CuCl,CuCl+,CuCl2,CuCl2-,CuCl3-,CuCl3-2,CuCl4-2,CuF+,CuO,CuO2-2,CuOH+,F-,Fe+2,FeCl+,FeCl2,FeF+,FeO,FeOH+,Ga+3,GaO+,GaO2-,GaOH+2,H+,H2,H2AsO3-,H2AsO4-,H2O,H2O2,H2P2O7-2,H2PO2-,H2PO3-,H2PO4-,H2S,H2VO4-,H3AsO4,H3P2O7-,H3PO2,H3PO3,H3PO4,H3VO4,H4P2O7,HAlO2,HAsO2,HAsO4-2,HBeO2-,HBrO,HCO3-,HCdO2-,HCl,HClO,HClO2,HCoO2-,HCrO2,HCrO4-,HCuO2-,HF,HF2-,HFeO2-,HGaO2,HHfO2+,HHfO3-,HMnO2-,HMoO4-,HNO2,HNO3,HNbO3,HNiO2-,HO2-,HP2O7-3,HPO3-2,HPO4-2,HPbO2-,HS-,HSO4-,HSbO2,HSiO3-,HSnO2-,HTlO2,HUO2,HUO2+,HUO3-,HUO4-,HVO4-2,HWO4-,HYO2,HZnO2-,HZrO2+,HZrO3-,Hf+4,HfO+2,HfO2,HfOH+3,K+,KBr,KCl,KHSO4,KOH,KSO4-,La+2,La+3,LaCl+2,LaCl2+,LaCl3,LaCl4-,LaF+2,LaF2+,LaF3,LaF4-,LaH2PO4+2,LaNO3+2,LaO+,LaO2-,LaO2H,LaOH+2,LaSO4+,Li+,LiCl,LiOH,Mg+2,MgCO3,MgCl+,MgF+,MgHCO3+,MgHSiO3+,MgOH+,MgSO4,Mn+2,Mn+3,MnCl+,MnF+,MnO,MnO2-2,MnO4-,MnO4-2,MnOH+,MnSO4,MoO4-2,NH3,NH4+,NO2-,NO3-,Na+,NaBr,NaCl,NaF,NaHSiO3,NaOH,NaSO4-,NbO3-,Ni+2,NiCl+,NiF+,NiO,NiO2-2,NiOH+,O2,OH-,P2O7-4,PO4-3,Pb(HS)2,Pb(HS)3-,Pb+2,PbCl+,PbCl2,PbCl3-,PbCl4-2,PbF+,PbF2,PbO,PbOH+,Rb+,RbBr,RbCl,RbF,RbOH,SO4-2,SbO2-,SiF6-2,SiO2,Sn+2,SnO,SnOH+,Sr+2,SrCl+,SrF+,SrOH+,Th+4,Tl+,Tl+3,TlCl,TlCl+2,TlF,TlO+,TlO2-,TlOH,TlOH+2,U+3,U+4,UO+,UO+2,UO2,UO2+,UO2+2,UO2-,UO2OH,UO2OH+,UO3,UO3-,UO4-2,UOH+2,UOH+3,V+2,V+3,VO+,VO+2,VO2+,VO4-3,VOH+,VOH+2,VOOH+,WO4-2,Y+3,YO+,YO2-,YOH+2,Zn+2,ZnCl+,ZnCl2,ZnCl3-,ZnF+,ZnO,ZnO2-2,ZnOH+,Zr+4,ZrO+2,ZrO2,ZrOH+3,pH,Fe-brucite,K-feldspar,albite,"albite,high","albite,low",almandine,alunite,amorphous-silica,analcime,"analcime,dehydrated",andalusite,anglesite,anhydrite,annite,anorthite,anthophyllite,antigorite,aragonite,barite,berndtite,bixbyite,boehmite,bornite,bromellite,brucite,calcite,cassiterite,celestite,chalcedony,chalcopyrite,chrysotile,clinozoisite,coesite,"cordierite,hydrous",corundum,covellite,cristobalite,"cristobalite,alpha","cristobalite,beta","daphnite,14a",diaspore,dickite,diopside,dolomite,enstatite,fayalite,ferrosilite,ferrotremolite,ferrous-oxide,fluorite,forsterite,galena,gibbsite,glaucophane,greenalite,grunerite,gypsum,halite,halloysite,hausmannite,hedenbergite,hisingerite,huebnerite,jadeite,kalsilite,kaolinite,kyanite,laumontite,lawsonite,magnesite,margarite,"microcline,maximum",minnesotaite,monticellite,muscovite,nepheline,nesquehonite,paragonite,prehnite,pyrite,pyrolusite,pyrophyllite,pyrrhotite,quartz,romarchite,"sanidine,high",sepiolite,siderite,sillimanite,sphalerite,spinel,sylvite,talc,tenorite,tremolite,wairakite,willemite,wollastonite,wurtzite,zoisite,CH4/HCO3-,CO/HCO3-,DEFAULT,H2/H2O,HS-/SO4-2,NH4+/NO3-,NO2-/NO3-,O2/H2O,charge imbalance,charge imbalance % of mean charge,charge imbalance % of total charge,ionic strength,mean charge,sigma(mz) anions,sigma(mz) cations,stoichiometric ionic strength,total charge,Al+3_Log_ion-H+_activity_ratio,AsO2-_Log_ion-H+_activity_ratio,AsO4-3_Log_ion-H+_activity_ratio,Ba+2_Log_ion-H+_activity_ratio,Be+2_Log_ion-H+_activity_ratio,Br-_Log_ion-H+_activity_ratio,Br3-_Log_ion-H+_activity_ratio,BrO3-_Log_ion-H+_activity_ratio,BrO4-_Log_ion-H+_activity_ratio,Ca+2_Log_ion-H+_activity_ratio,Cd+2_Log_ion-H+_activity_ratio,Cl-_Log_ion-H+_activity_ratio,ClO-_Log_ion-H+_activity_ratio,ClO2-_Log_ion-H+_activity_ratio,ClO3-_Log_ion-H+_activity_ratio,ClO4-_Log_ion-H+_activity_ratio,Co+2_Log_ion-H+_activity_ratio,Co+3_Log_ion-H+_activity_ratio,Cr+2_Log_ion-H+_activity_ratio,Cr+3_Log_ion-H+_activity_ratio,CrO4-2_Log_ion-H+_activity_ratio,Cs+_Log_ion-H+_activity_ratio,Cu+_Log_ion-H+_activity_ratio,Cu+2_Log_ion-H+_activity_ratio,F-_Log_ion-H+_activity_ratio,Fe+2_Log_ion-H+_activity_ratio,Ga+3_Log_ion-H+_activity_ratio,H2AsO3-_Log_ion-H+_activity_ratio,H2AsO4-_Log_ion-H+_activity_ratio,H2VO4-_Log_ion-H+_activity_ratio,HCO3-_Log_ion-H+_activity_ratio,HPO4-2_Log_ion-H+_activity_ratio,HS-_Log_ion-H+_activity_ratio,Hf+4_Log_ion-H+_activity_ratio,K+_Log_ion-H+_activity_ratio,La+2_Log_ion-H+_activity_ratio,La+3_Log_ion-H+_activity_ratio,Li+_Log_ion-H+_activity_ratio,Mg+2_Log_ion-H+_activity_ratio,Mn+2_Log_ion-H+_activity_ratio,Mn+3_Log_ion-H+_activity_ratio,MnO4-_Log_ion-H+_activity_ratio,MnO4-2_Log_ion-H+_activity_ratio,MoO4-2_Log_ion-H+_activity_ratio,NH4+_Log_ion-H+_activity_ratio,NO2-_Log_ion-H+_activity_ratio,NO3-_Log_ion-H+_activity_ratio,Na+_Log_ion-H+_activity_ratio,NbO3-_Log_ion-H+_activity_ratio,Ni+2_Log_ion-H+_activity_ratio,OH-_Log_ion-H+_activity_ratio,Pb+2_Log_ion-H+_activity_ratio,Rb+_Log_ion-H+_activity_ratio,SO4-2_Log_ion-H+_activity_ratio,SbO2-_Log_ion-H+_activity_ratio,SiF6-2_Log_ion-H+_activity_ratio,Sn+2_Log_ion-H+_activity_ratio,Sr+2_Log_ion-H+_activity_ratio,Th+4_Log_ion-H+_activity_ratio,Tl+_Log_ion-H+_activity_ratio,Tl+3_Log_ion-H+_activity_ratio,U+3_Log_ion-H+_activity_ratio,U+4_Log_ion-H+_activity_ratio,UO2+_Log_ion-H+_activity_ratio,UO2+2_Log_ion-H+_activity_ratio,V+2_Log_ion-H+_activity_ratio,V+3_Log_ion-H+_activity_ratio,VO+2_Log_ion-H+_activity_ratio,VO2+_Log_ion-H+_activity_ratio,WO4-2_Log_ion-H+_activity_ratio,Y+3_Log_ion-H+_activity_ratio,Zn+2_Log_ion-H+_activity_ratio,Zr+4_Log_ion-H+_activity_ratio,CH4(g),CO(g),CO2(g),H2(g),H2O(g),H2S(g),N2(g),NH3(g),O2(g),S2(g),SO2(g),Al+3_total,B(OH)3_total,Ba+2_total,Be+2_total,Br-_total,CH4_total,CO_total,Ca+2_total,Cd+2_total,Cl-_total,Co+2_total,CrO4-2_total,Cs+_total,Cu+2_total,F-_total,Fe+2_total,Ga+3_total,H+_total,H2AsO4-_total,H2_total,HCO3-_total,HPO4-2_total,HS-_total,Hf+4_total,K+_total,La+3_total,Li+_total,Mg+2_total,Mn+2_total,MoO4-2_total,NH4+_total,NO2-_total,NO3-_total,Na+_total,NbO3-_total,Ni+2_total,O2_total,OH-_total,Pb+2_total,Rb+_total,SO4-2_total,SbO2-_total,SiO2_total,Sn+2_total,Sr+2_total,Th+4_total,Tl+_total,U+4_total,VO+2_total,WO4-2_total,Y+3_total,Zn+2_total,Zr+4_total
,,degC,bar,pH,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,pH,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,Eh_volts,Eh_volts,Eh_volts,Eh_volts,Eh_volts,Eh_volts,Eh_volts,Eh_volts,%,%,eq/kg.H2O,molality,eq/kg.H2O,eq/kg.H2O,eq/kg.H2O,eq/kg.H2O,molality,Log ion-H+ activity ratio,Log ion-H+ activity ratio,Log ion-H+ activity ratio,Log ion-H+ activity ratio,Log ion-H+ activity ratio,Log ion-H+ activity ratio,Log ion-H+ activity ratio,Log ion-H+ activity ratio,Log ion-H+ activity ratio,Log ion-H+ activity ratio,Log ion-H+ activity ratio,Log ion-H+ activity ratio,Log ion-H+ activity ratio,Log ion-H+ activity ratio,Log ion-H+ activity ratio,Log ion-H+ activity ratio,Log ion-H+ activity ratio,Log ion-H+ activity ratio,Log ion-H+ activity ratio,Log ion-H+ activity ratio,Log ion-H+ activity ratio,Log ion-H+ activity ratio,Log ion-H+ activity ratio,Log ion-H+ activity ratio,Log ion-H+ activity ratio,Log ion-H+ activity ratio,Log ion-H+ activity ratio,Log ion-H+ activity ratio,Log ion-H+ activity ratio,Log ion-H+ activity ratio,Log ion-H+ activity ratio,Log ion-H+ activity ratio,Log ion-H+ activity ratio,Log ion-H+ activity ratio,Log ion-H+ activity ratio,Log ion-H+ activity ratio,Log ion-H+ activity ratio,Log ion-H+ activity ratio,Log ion-H+ activity ratio,Log ion-H+ activity ratio,Log ion-H+ activity ratio,Log ion-H+ activity ratio,Log ion-H+ activity ratio,Log ion-H+ activity ratio,Log ion-H+ activity ratio,Log ion-H+ activity ratio,Log ion-H+ activity ratio,Log ion-H+ activity ratio,Log ion-H+ activity ratio,Log ion-H+ activity ratio,Log ion-H+ activity ratio,Log ion-H+ activity ratio,Log ion-H+ activity ratio,Log ion-H+ activity ratio,Log ion-H+ activity ratio,Log ion-H+ activity ratio,Log ion-H+ activity ratio,Log ion-H+ activity ratio,Log ion-H+ activity ratio,Log ion-H+ activity ratio,Log ion-H+ activity ratio,Log ion-H+ activity ratio,Log ion-H+ activity ratio,Log ion-H+ activity ratio,Log ion-H+ activity ratio,Log ion-H+ activity ratio,Log ion-H+ activity ratio,Log ion-H+ activity ratio,Log ion-H+ activity ratio,Log ion-H+ activity ratio,Log ion-H+ activity ratio,Log ion-H+ activity ratio,Log ion-H+ activity ratio,log_fugacity,log_fugacity,log_fugacity,log_fugacity,log_fugacity,log_fugacity,log_fugacity,log_fugacity,log_fugacity,log_fugacity,log_fugacity,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality
090723G,2009,79.1,1.0,5.18,0,0.000181257,2.99E-06,0.005002829,5.19E-08,2.69E-07,1.76E-07,0.00029213,0.000866217,9.64E-07,0.002121786,3.70E-06,6.58E-07,1.44E-06,2.23E-05,0.00303887,0.000207125,0.000638252,0.000312892,0.000505851,1.20E-07,8.60E-05,1.29E-05,1.04E-08,6.09E-08,6.92E-09,6.92E-06,5.09E-10,4.26E-09,1.42E-09,1.71E-07,1.29E-09,2.80E-08,1.40E-06,1.94E-06,1.08E-09,1.53E-09,1.40E-10,2.61E-08,1.87E-10,4.21E-11,4.93E-10,2.18E-08,6.19E-07,7.13E-10,5.04E-11,2.18E-08,8.81E-11,1.64E-10,5.60E-11,9.66E-11,7.70E-06,0,3.203e-09,7.9365e-07,2.059e-06,7.9633e-08,8.158699999999999e-32,1.2317e-15,8.5981e-05,9.4958e-17,1.8721e-08,6.1815e-07,3.3998e-10,5.0906e-10,4.2744e-13,6.504e-09,2.3978e-12,2.9632e-15,6.5735e-09,2.0053e-08,2.8383e-08,3.9546e-08,1.3158e-10,2.2346999999999996e-21,1.8806e-08,9.6377e-07,4.9408e-25,1.0826e-18,9.860299999999999e-28,2.7862e-43,5.19e-08,1.76e-07,,,0.00041983,,2.7018e-07,4.8356e-11,7.9057e-07,,3.1955e-09,8.1241e-10,8.4957e-05,1.7671e-10,9.5319e-12,2.2137e-14,6.1618e-18,2.0077e-22,6.8403e-13,2.2847e-16,1.0823e-17,2.5706e-31,4.8143e-14,0.00086519,4.6382e-19,1.0182e-27,1.2105e-24,1.5599000000000001e-25,5.0565e-10,3.5982e-27,1.4509e-12,1.6881e-12,4.8657e-16,5.7785000000000006e-30,2.0866e-13,2.6864e-22,2.382e-42,1.0253000000000001e-25,9.0653e-16,8.9486e-23,2.3710000000000002e-27,2.2716e-10,1.3462999999999998e-23,2.1778e-08,2.917e-14,2.1816e-11,4.564e-17,2.1629e-18,1.3698e-09,1.5971e-19,3.1454e-12,2.2272e-16,2.9232e-20,3.0846999999999996e-21,2.3622e-23,4.6302e-27,1.2778e-11,3.4516e-12,2.8948000000000004e-25,3.0808e-11,0.00028154,7.6271e-06,5.1788e-09,1.609e-17,5.7491e-08,5.3162e-13,1.0266e-08,1.1335e-17,1.2836e-11,3.0292e-10,5.4458e-15,7.2535e-06,2.69e-07,8.2303e-32,2.7046e-08,56.92071947921059,1.3308e-16,5.9803e-13,2.0811e-95,1.0968999999999999e-46,3.6485e-06,2.8523e-06,5.9501e-08,5.3735e-11,7.9976e-16,1.7897000000000002e-98,6.103999999999999e-50,6.3583e-09,1.0402e-09,2.9781000000000005e-19,9.9645e-06,1.8202e-28,8.9983e-10,2.6687e-14,9.3645e-16,,2.9716e-24,8.2397e-10,5.3453e-17,1.8843000000000002e-30,2.4156e-22,3.0194e-24,6.6928e-09,5.4129e-18,7.4871e-06,6.9459e-10,5.8858e-16,9.7424e-10,1.9721e-12,1.0564e-11,5.586599999999999e-21,5.1364e-09,3.1502e-09,1.4826e-12,1.3831e-10,3.5189e-21,2.3828e-22,3.4657e-14,1.34e-47,4.516e-08,9.7652e-20,1.3768e-07,4.6775e-06,4.93e-10,6.7095e-07,9.0435e-15,1.8466e-16,4.2742e-70,6.8294e-38,8.7935e-39,4.2356e-14,3.5675e-10,9.1074e-10,6.1314e-15,1.8301e-16,4.6386e-11,4.4882e-10,2.9366e-23,6.485e-14,3.7799e-11,8.9874e-18,0.00062872,2.4731e-11,5.0462e-09,3.867e-12,1.278e-11,9.5297e-06,3.3226000000000003e-75,3.3487e-11,1.2137e-13,4.9225e-17,9.301299999999998e-21,6.4871e-25,3.0004e-10,2.8772e-11,1.8602e-13,1.4676e-16,1.6353e-14,2.6467e-17,3.6309e-15,7.784e-24,7.5963e-18,1.4069e-12,3.4896e-10,2.2299e-05,8.0124e-10,1.8942e-12,0.00024329,,1.6105e-07,1.8201e-06,,2.5658e-09,3.1729e-09,6.7615e-05,5.8971e-06,3.4024e-17,1.1454e-08,1.3991e-08,1.0005e-14,1.8771e-27,2.036e-12,1.1254e-17,6.48e-10,9.9678e-07,2.0964e-08,4.0776e-07,0.00020672,6.5485e-07,1.44e-06,0.003005,2.0156e-10,5.671e-07,1.2623e-07,3.5177e-08,6.86e-11,3.3163e-05,1.6926e-12,4.2421e-09,4.8155e-13,1.7166e-11,4.0871e-15,3.7279000000000004e-27,2.8942e-13,0.00018126,4.0426e-08,3.8996e-18,8.9736e-15,2.1619e-11,4.1859e-17,1.2924e-10,3.5503e-12,1.3372e-14,6.0676e-18,2.4302e-21,3.096e-12,1.1671e-14,8.1669e-15,6.465e-12,1.3962e-06,1.7039e-13,2.6307e-10,3.545e-09,4.861e-14,0.0019209,4.1863e-15,2.8461e-20,0.0050021,2.762e-15,4.1486e-11,6.025e-13,1.9377e-06,1.3639e-09,9.1229e-10,1.6505e-12,5.6e-11,5.0519e-16,1.3888000000000001e-30,1.5403e-18,7.6832e-27,2.4815e-19,1.3482e-20,1.9578999999999998e-21,8.8099e-11,4.6844999999999997e-26,3.9574e-69,2.9923e-50,1.8366000000000002e-68,1.3733999999999999e-40,7.814100000000001e-33,1.2306e-22,3.9068e-12,5.1342e-74,1.2357e-33,3.3824e-11,5.8827e-11,3.737e-44,7.625799999999999e-21,1.9582000000000003e-68,1.086e-44,2.0951999999999997e-53,3.3756e-38,3.4296e-32,1.4677e-20,1.649e-12,1.9359e-17,6.761000000000001e-54,2.6232e-34,2.033e-20,2.0889e-08,8.9414e-10,2.1553e-12,6.536500000000001e-19,1.837e-10,1.4351e-07,2.6619e-09,1.2791e-12,2.3991e-16,6.3029e-10,2.2763e-12,7.3963e-23,2.4198e-08,9.0885e-23,5.4793e-13,1.0342e-09,1.0365e-16,5.18,-8.6816,5.71984,3.11286,1.46544,3.11286,-9.03593,6.44233,-0.03161,1.27648,-4.9715,4.21817,-8.32672,-2.25709,-7.49083,-2.47972,,,,0.3953,43.57902,2.75963,2.10112,-5.91159,-4.37466,,,52.1017,-2.99906,1.16991,18.61976,,-3.588,0.4216,-3.76122,1.55494,15.17046,0.81617,0.81617,0.28084,-6.76234,3.08215,13.33651,,,-7.5644,,-4.8043,,-9.03569,-1.3384,,1.50755,3.65646,-6.63469,,,-2.81354,,9.75666,-4.73537,,-6.25532,2.67628,-1.06257,-1.64758,11.7617,4.46676,6.11869,1.9537,,6.81456,5.73272,-7.37262,,16.05414,-4.10343,,12.16048,-4.87778,47.7129,24.49919,12.97046,-4.79164,1.53988,-8.77279,4.28131,,,3.77171,2.96097,-9.60718,,-9.81624,-7.44041,,1.38019,-9.92511,,-0.17239,-3.64357,0.811,0.811,0.811,-0.241,-0.134,0.387,0.448,0.811,0.0001884503332,3.6663,1.8332,0.00774047,0.0051400448577,-0.0050458196911,0.0052342700243,0.00852557,0.010280089715,6.68581,-36.31268,-30.85937,3.97412,2.00879,-11.24032,-29.52928,-32.22979,-47.77807,6.8105,0.43029,-8.28719,-23.55673,-32.21526,-29.1407,-30.03059,0.89128,-11.30053,-31.44468,-9.8089,-20.17982,-2.52965,-12.53077,1.32409,-8.77414,5.06979,-1.8022,-36.30766,-12.79097,-12.44855,,-17.8814,-12.08481,-2.53428,1.93142,-64.30014,4.70514,0.48474,6.58173,4.95807,-1.31491,-16.91431,-27.48724,-18.21234,1.44771,-11.40693,-11.06594,2.61203,-16.99336,1.81501,-12.61702,0.29212,-0.72272,-13.25266,-19.60008,-30.0819,-4.37135,4.47032,9.85854,-10.16421,-14.71397,-53.26964,-29.5457,-16.77568,-1.22979,-42.49576,-22.32826,-9.65263,-6.64859,-18.21159,6.13166,3.3443,-1.93115,,,,-33.55047,-0.42353,-4.15277,-14.19766,-55.79859,-0.64254,-16.36701,-40.1631,1.29e-05,8.6e-05,6.19e-07,1.2e-07,9.64e-07,5.19e-08,1.76e-07,0.000505851,1.87e-10,0.000866217,5.09e-10,6.92e-09,2.18e-08,1.42e-09,0.00029213,7.7e-06,1.29e-09,,2.8e-08,2.69e-07,0.0,3.7e-06,2.99e-06,5.04e-11,0.000638252,7.13e-10,2.23e-05,0.000312892,6.92e-06,2.61e-08,0.000207125,6.58e-07,1.44e-06,0.00303887,1.4e-10,4.26e-09,0.000181257,1.52784e-05,1.64e-10,1.4e-06,0.00212179,4.93e-10,0.00500283,4.21e-11,1.94e-06,5.6e-11,8.81e-11,9.66e-11,6.09e-08,2.18e-08,1.08e-09,1.71e-07,1.53e-09
