ID,Year,Temperature,Pressure,H+,HCO3-,O2,HS-,SiO2,CH4,H2,CO,F-,Cl-,Br-,SO4-2,HPO4-2,NO2-,NO3-,Li+,Na+,NH4+,K+,Mg+2,Ca+2,Be+2,B(OH)3,Al+3,Ti+4,VO+2,CrO4-2,Mn+2,Co+2,Ni+2,Cu+2,Zn+2,Ga+3,H2AsO4-,Rb+,Sr+2,Y+3,Zr+4,NbO3-,MoO4-2,Cd+2,Sn+2,SbO2-,Cs+,Ba+2,La+3,Hf+4,WO4-2,Tl+,Pb+2,Th+4,U+4,Fe+2,Fe+3
,,degC,bar,pH,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality
140803SJ,2014,53.5,1,2.332,0.000183181,9.38E-06,1.30E-05,0.004776487,3.28E-07,5.43E-09,4.88E-08,4.32E-05,0.000442558,5.13E-07,0.007289789,4.74E-08,3.04E-08,1.05E-07,2.31E-05,0.001868639,0.000192671,0.000607959,7.86E-05,0.000214321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.48E-05,0
140803SI,2014,74,1,2.4,0.001582015,4.69E-05,3.12E-07,0.005883234,1.57E-07,3.88E-09,0,4.21E-05,0.000146673,1.75E-07,0.007414594,7.27E-08,5.43E-08,1.94E-07,5.76E-06,0.001507612,0.000166574,0.000520231,6.58E-05,0.00013523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.91E-06,0
140803SH,2014,52.8,1,2.34,0.000191507,5.94E-05,1.15E-06,0.003678061,2.37E-08,2.08E-09,7.22E-09,4.11E-05,0.000495022,5.63E-07,0.007107318,1.37E-07,5.65E-08,9.52E-08,2.45E-05,0.001941714,0.000196557,0.000587242,7.69E-05,0.000213323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.45E-06,0
140803FN,2014,83.8,1,3.504,0.00020816,1.44E-05,1.60E-05,0.00639084,2.05E-08,5.12E-08,0,0.00020107,0.010590641,1.49E-05,0.00096513,5.37E-08,5.87E-08,2.74E-07,0.000422129,0.010646803,6.05E-05,0.00083636,5.35E-06,7.39E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.10E-05,0
140802TX,2014,50.8,1,2.466,0.007243963,2.19E-05,7.91E-05,0.004060846,8.92E-08,1.17E-09,0,0.000176857,0.004331368,5.13E-06,0.005412095,3.90E-07,5.43E-08,5.48E-07,0.000220429,0.006030013,0.000167129,0.000620492,1.85E-05,0.000109531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.77E-05,0
140802TT,2014,86,1,2.406,0.000133222,7.50E-05,8.86E-06,0.002305029,7.04E-09,1.11E-08,9.34E-09,1.32E-05,0.000220292,1.75E-07,0.004207557,1.26E-07,1.17E-07,1.55E-07,5.91E-06,0.000360592,0.000353137,0.000140928,1.89E-06,1.27E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.77E-05,0
140802TS,2014,85.2,1,1.968,0,2.19E-05,7.42E-06,0.001647638,0,2.53E-08,1.73E-08,1.68E-06,1.89E-06,0,0.009992193,4.21E-08,3.48E-08,1.61E-07,1.41E-07,3.74E-05,0.000599112,4.53E-05,1.23E-06,3.99E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.49E-06,0
140802TR,2014,89.9,1,2.038,0.000108243,2.00E-05,4.52E-06,0.003644776,9.81E-09,2.03E-08,0,0.000107377,0.003239782,4.13E-06,0.010124388,3.58E-07,9.13E-08,2.10E-07,0.000152716,0.004447586,0.000344253,0.00045987,1.93E-05,6.64E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.44E-05,0
140802SD,2014,54.9,1,3.855,0.000666112,9.38E-06,2.87E-06,0.001397996,1.56E-06,6.74E-09,2.08E-07,2.47E-05,1.69E-05,7.01E-08,0.000714895,2.32E-08,1.04E-08,1.94E-07,3.89E-06,0.000474554,9.11E-05,0.000358075,2.47E-05,7.71E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.93E-05,0
140731TP,2014,82.1,1,3.598,0.001165695,2.81E-06,0.000187114,0.00627434,9.96E-09,1.29E-07,1.34E-07,0.000125274,0.005837588,9.14E-06,0.006879879,2.63E-07,8.26E-08,6.93E-08,0.000286702,0.008647238,0.002244864,0.002259451,0.000873894,0.001722305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.37E-05,0
