ID,Year,Temperature,Pressure,H+,HCO3-,O2,HS-,SiO2,CH4,H2,CO,F-,Cl-,Br-,SO4-2,HPO4-2,NO2-,NO3-,Li+,Na+,NH4+,K+,Mg+2,Ca+2,Be+2,B(OH)3,Al+3,Ti+4,VO+2,CrO4-2,Mn+2,Co+2,Ni+2,Cu+2,Zn+2,Ga+3,H2AsO4-,Rb+,Sr+2,Y+3,Zr+4,NbO3-,MoO4-2,Cd+2,Sn+2,SbO2-,Cs+,Ba+2,La+3,Hf+4,WO4-2,Tl+,Pb+2,Th+4,U+4,Fe+2,Fe+3
,,degC,bar,pH,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality
170725TJ,2017,49.8,1,3.011,1.49E-05,6.25E-05,5.61E-07,0.006258322,0,5.76E-09,0,0.000159303,0.011872699,1.67E-05,0.001462948,0,1.57E-07,8.72E-08,0.000513,0.011573641,7.90E-05,0.0013,9.62E-06,0.000120753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.53E-05,0
170723TU,2017,52.9,1,5.157,0.001189836,5.94E-05,1.06E-06,0.003370506,0,2.22E-08,0,8.93E-05,2.39E-05,1.08E-07,0.000539131,0,1.95E-08,1.56E-07,2.84E-06,0.00082662,4.90E-06,0.000434001,9.57E-06,4.78E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.04E-06,0
170723TR,2017,45.2,1,4.932,0.000492679,8.13E-05,1.40E-06,0.004660453,0,9.60E-09,0,7.86E-05,1.41E-05,7.32E-08,0.000444,0,3.40E-08,1.94E-06,3.25E-06,0.000602971,9.99E-06,0.000306,7.84E-06,4.18E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.66E-06,0
170719SF,2017,87,1,6.35,0.001470886,1.52E-05,1.20E-05,0.00458,0,3.44E-08,0,0.00069,0.015992132,2.14E-05,0.00124803,0,3.80E-07,1.45E-07,0.000941,0.018508686,3.69E-05,0.000770202,2.58E-07,0.000158504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.79E-07,0
170719SE,2017,74.9,1,2.263,0.000628575,1.88E-05,3.12E-06,0.00399,0,1.08E-07,0,0.000159761,0.003502626,4.60E-06,0.004963704,0,5.43E-08,7.19E-08,0.000265,0.006956964,0.000175752,0.000369859,6.68E-06,6.71E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.55E-06,0
170718TX,2017,64.1,1,7.552,0.002202452,6.25E-05,1.47E-06,0,0,1.94E-08,0,0.000884,0.011838571,1.63E-05,0.00123,0,4.54E-07,1.20E-07,0.000503,0.016199331,2.69E-05,0.000606701,5.99E-06,0.000114992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.58E-07,0
170718TW,2017,51.8,1,8.089,0,7.19E-05,9.67E-07,0.004743675,0,1.94E-08,0,0.000895411,0.012129115,1.67E-05,0.001276651,0,1.01E-07,3.40E-07,0.000516,0.016622396,2.00E-05,0.000623,6.04E-06,0.000116784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07E-06,0
170718SX,2017,83,1,7.998,0.005414517,4.69E-05,2.81E-07,0.004377497,0,2.78E-08,0,0.001147897,0.00668441,9.31E-06,0.000185437,0,2.10E-07,1.65E-07,0.000482353,0.013107916,3.36E-06,0.00037724,1.09E-07,1.28E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.79E-07,0
170715SO,2017,86.1,1,2.725,7.48E-05,1.13E-05,1.34E-06,0.002929427,0,3.09E-08,0,0.00012,0.010156704,1.42E-05,0.001885703,0,1.11E-07,1.42E-07,0.000413649,0.009914702,0.000136771,0.001537442,8.28E-06,7.27E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.33E-05,0
170714TJ,2017,50.6,1,2.213,0,2.38E-06,4.15E-06,0.003853196,0,2.08E-08,0,3.64E-05,1.68E-05,9.24E-08,0.005462938,0,3.15E-07,6.75E-08,1.27E-05,0.001069112,2.47E-06,0.000422988,0.000406156,0.00042302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000101182,0
170714SI,2017,75.5,1,5.335,0.000776792,5.31E-05,1.50E-06,0.004027963,0,5.03E-08,0,0.000325614,0.000954661,1.27E-06,0.001692225,0,5.49E-08,3.57E-07,3.73E-05,0.002657385,9.66E-05,0.000594,0.000282311,0.000438266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.97E-06,0
190730VF,2019,71.8,1,3.35,0.000989776,2.39E-05,2.01E-05,0.005517643,7.20E-08,8.84E-09,2.05E-08,0.000244236,0.012485826,1.70E-05,0.00152211,0,4.35E-07,0,0.000348653,0.005341888,5.32E-05,0.001001322,7.41E-06,6.06E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.15E-05,0
