Sample,Year,AOA,AOA RA,Temperature,Pressure,pH_(input),HCO3-_(input),DOC,O2_(input),HS-_(input),SiO2_(input),F-_(input),Cl-_(input),Br-_(input),SO4-2_(input),PO4-3_(input),NO2-_(input),NO3-_(input),Li+_(input),Na+_(input),NH4+_(input),K+_(input),Mg+2_(input),Ca+2_(input),Fe+2_(input),Fe+3_(input),Cu+2_(input),Br-,Br3-,BrO-,BrO3-,BrO4-,CO,CO2,CO3-2,Ca+2,CaCO3,CaCl+,CaCl2,CaF+,CaHCO3+,CaHSiO3+,CaOH+,CaSO4,Cl-,ClO-,ClO2-,ClO3-,ClO4-,Cu+,Cu+2,CuCl,CuCl+,CuCl2,CuCl2-,CuCl3-,CuCl3-2,CuCl4-2,CuF+,CuO,CuO2-2,CuOH+,F-,Fe+2,FeCl+,FeCl2,FeF+,FeO,FeOH+,H+,H2,H2O,H2O2,H2S,HBrO,HCO3-,HCl,HClO,HClO2,HCuO2-,HF,HF2-,HFeO2-,HNO2,HNO3,HO2-,HS-,HSO4-,HSiO3-,K+,KBr,KCl,KHSO4,KOH,KSO4-,Li+,LiCl,LiOH,Mg+2,MgCO3,MgCl+,MgF+,MgHCO3+,MgHSiO3+,MgOH+,MgSO4,NH3,NH4+,NO2-,NO3-,Na+,NaBr,NaCl,NaF,NaHSiO3,NaOH,NaSO4-,O2,OH-,PO4-3,SO4-2,SiF6-2,SiO2,pH,Fe-brucite,amorphous-silica,anhydrite,anthophyllite,antigorite,aragonite,artinite,bornite,brucite,calcite,chalcedony,chalcocite,chalcopyrite,chrysotile,coesite,covellite,cristobalite,"cristobalite,alpha","cristobalite,beta",diopside,dolomite,enstatite,fayalite,ferrosilite,ferrotremolite,ferrous-oxide,fluorite,forsterite,greenalite,grunerite,gypsum,halite,hedenbergite,hisingerite,magnesite,malachite,minnesotaite,monticellite,nesquehonite,portlandite,pyrite,pyrrhotite,quartz,sepiolite,siderite,sylvite,talc,tenorite,tremolite,wollastonite,DEFAULT,HS-/SO4-2,NH4+/NO3-,NO2-/NO3-,O2/H2O,charge imbalance,charge imbalance % of mean charge,charge imbalance % of total charge,ionic strength,mean charge,sigma(mz) anions,sigma(mz) cations,stoichiometric ionic strength,total charge,Br-_Log_ion-H+_activity_ratio,Br3-_Log_ion-H+_activity_ratio,BrO3-_Log_ion-H+_activity_ratio,BrO4-_Log_ion-H+_activity_ratio,Ca+2_Log_ion-H+_activity_ratio,Cl-_Log_ion-H+_activity_ratio,ClO-_Log_ion-H+_activity_ratio,ClO2-_Log_ion-H+_activity_ratio,ClO3-_Log_ion-H+_activity_ratio,ClO4-_Log_ion-H+_activity_ratio,Cu+_Log_ion-H+_activity_ratio,Cu+2_Log_ion-H+_activity_ratio,F-_Log_ion-H+_activity_ratio,Fe+2_Log_ion-H+_activity_ratio,HCO3-_Log_ion-H+_activity_ratio,HPO4-2_Log_ion-H+_activity_ratio,HS-_Log_ion-H+_activity_ratio,K+_Log_ion-H+_activity_ratio,Li+_Log_ion-H+_activity_ratio,Mg+2_Log_ion-H+_activity_ratio,NH4+_Log_ion-H+_activity_ratio,NO2-_Log_ion-H+_activity_ratio,NO3-_Log_ion-H+_activity_ratio,Na+_Log_ion-H+_activity_ratio,OH-_Log_ion-H+_activity_ratio,PO4-3_Log_ion-H+_activity_ratio,SO4-2_Log_ion-H+_activity_ratio,SiF6-2_Log_ion-H+_activity_ratio,CH4(g),CO(g),CO2(g),H2(g),H2O(g),H2S(g),N2(g),NH3(g),O2(g),S2(g),SO2(g),Br-_total,Ca+2_total,Cl-_total,Cu+2_total,F-_total,Fe+2_total,H+_total,HCO3-_total,HPO4-2_total,HS-_total,K+_total,Li+_total,Mg+2_total,NH4+_total,NO2-_total,NO3-_total,Na+_total,O2_total,OH-_total,PO4-3_total,SO4-2_total,SiO2_total
,,Yes/No,,degC,bar,pH,Molality,ppm,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,pH,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,Eh_volts,Eh_volts,Eh_volts,Eh_volts,Eh_volts,%,%,eq/kg.H2O,molality,eq/kg.H2O,eq/kg.H2O,eq/kg.H2O,eq/kg.H2O,molality,Log ion-H+ activity ratio,Log ion-H+ activity ratio,Log ion-H+ activity ratio,Log ion-H+ activity ratio,Log ion-H+ activity ratio,Log ion-H+ activity ratio,Log ion-H+ activity ratio,Log ion-H+ activity ratio,Log ion-H+ activity ratio,Log ion-H+ activity ratio,Log ion-H+ activity ratio,Log ion-H+ activity ratio,Log ion-H+ activity ratio,Log ion-H+ activity ratio,Log ion-H+ activity ratio,Log ion-H+ activity ratio,Log ion-H+ activity ratio,Log ion-H+ activity ratio,Log ion-H+ activity ratio,Log ion-H+ activity ratio,Log ion-H+ activity ratio,Log ion-H+ activity ratio,Log ion-H+ activity ratio,Log ion-H+ activity ratio,Log ion-H+ activity ratio,Log ion-H+ activity ratio,Log ion-H+ activity ratio,Log ion-H+ activity ratio,log_fugacity,log_fugacity,log_fugacity,log_fugacity,log_fugacity,log_fugacity,log_fugacity,log_fugacity,log_fugacity,log_fugacity,log_fugacity,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality
140724SC,2014,Yes,3.137337253,50.0,1.0000000000000018,7.993,4.25E-04,0.5,0.0000813,1.56E-06,5.51E-06,0.000759357,0.009778828,1.33E-05,0.001104461,1.24E-07,1.70E-07,1.77E-07,0.00043376,0.014500061,0.0000229,0.000603734,6.41E-06,0.000118555,,,,1.3291e-05,5.4111e-27,3.9568e-18,6.0268e-28,8.5477e-45,5.4531e-48,6.7588e-06,4.0347e-06,0.00011004,6.0611e-07,4.5317e-07,1.0715e-09,3.2117e-07,3.6055e-07,2.1624e-10,1.2238e-08,6.765e-06,0.0097562,5.1578e-19,1.9381e-28,4.479200000000001e-25,7.6525e-26,,,,,,,,,,,,,,0.00075784,,,,,,,1.1412e-08,5.0853e-41,56.01854194710687,4.6913e-18,7.0172e-08,7.8364e-18,0.00041321,1.4055e-11,1.1453000000000001e-19,2.8044e-34,,1.6395e-08,3.607e-12,,1.6944e-12,1.4023e-16,2.6461999999999997e-21,1.4898e-06,1.4292e-09,2.6634e-07,0.00060043,1.7991e-10,2.5146e-08,4.5571e-16,1.2857e-09,3.2736e-06,0.00043363,1.2318e-07,4.6591e-09,5.7789e-06,1.1901e-08,2.9519e-08,7.411e-08,1.9481e-08,1.8246e-11,6.2081e-09,4.8989e-07,4.5389e-06,1.8361e-05,1.7e-07,1.77e-07,0.014422,8.698e-09,2.2001e-05,1.1016e-06,1.075e-07,4.252e-08,5.513e-05,8.13e-05,5.9877e-06,1.24e-07,0.0010388,2.3002e-31,5.1359e-06,7.993,,-4.15669,-4.08993,,,-1.83719,,,-6.29321,-1.62514,-2.86921,,,,-3.61017,,-3.23769,-3.23769,-3.80713,,-3.20558,-7.25994,,,,,-0.89441,,,,-4.22836,-8.25587,,,-3.78337,,,,-7.95536,,,,-2.49909,,,-9.47602,,,,-9.10509,0.679,-0.312,0.214,0.299,0.679,0.0026139758282,18.1525,9.0763,0.0155591,0.014400065139,-0.013093077225,0.015707053053,0.0157332,0.028800130278,-12.92569,-34.31385,-35.26809,-52.11529,11.80952,-10.05997,-26.33467,-35.75977,-32.39697,-33.16437,,,-11.16859,,-11.43096,,-13.87503,4.71034,4.57491,10.54315,3.19465,-14.81669,-14.80127,6.093,-13.27091,-31.39293,-19.19295,-46.84771,-132.58737,-44.14196,-3.44976,-37.15391,-0.99461,-5.94043,-22.48084,-64.71718,-1.0588,-22.70941,-50.45094,1.33e-05,0.000118555,0.00977883,,0.000759357,,,0.000425,0.0,1.56e-06,0.000603734,0.00043376,6.41e-06,2.29e-05,1.7e-07,1.77e-07,0.0145001,8.13e-05,8.76217e-06,1.24e-07,0.00110446,5.51e-06
140724SD,2014,Yes,1.321814896,54.8,1.0,7.745,4.71E-04,0.6,0.0000719,1.12E-06,5.31E-06,0.000754069,0.009780614,1.38E-05,0.001101343,1.71E-07,2.08E-07,2.42E-07,0.000436893,0.014261148,0.0000243,0.00060246,6.79E-06,0.000119566,,,,1.379e-05,1.4473e-26,4.5744e-18,7.4238e-28,1.5728999999999999e-44,5.4595e-47,1.298e-05,2.6412e-06,0.00011077,4.4349e-07,4.869e-07,1.0939e-09,3.4109e-07,4.1577e-07,1.3983e-10,1.0568e-08,7.0958e-06,0.0097574,6.851e-19,3.098e-28,5.5991e-25,8.0023e-26,,,,,,,,,,,,,,0.00075248,,,,,,,2.0214e-08,2.5155e-40,56.14583227665121,7.5058e-18,7.9174e-08,1.4722e-17,0.00045449,2.4429e-11,2.5491e-19,8.7963e-34,,3.1744e-08,7.1265e-12,,3.4353e-12,3.7833e-16,2.768e-21,1.0408e-06,2.9071e-09,1.6433e-07,0.00059906,2.0327e-10,2.8263e-08,1.0607e-15,1.0048e-09,3.3711e-06,0.00043676,1.2947e-07,3.5499e-09,6.0991e-06,8.7839e-09,3.2226e-08,8.1177e-08,2.3632e-08,1.2079e-11,5.255e-09,5.3982e-07,3.8048e-06,2.0495e-05,2.08e-07,2.42e-07,0.014181,9.393e-09,2.2517e-05,1.1317e-06,5.8781e-08,3.154e-08,5.6406e-05,7.19e-05,4.4807e-06,1.71e-07,0.0010339,1.6004000000000002e-30,5.0867e-06,7.745,,-4.28373,-4.0564,,,-2.06877,,,-6.70642,-1.85372,-3.01264,,,,-3.75475,,-3.37869,-3.37869,-3.94185,,-3.60307,-7.77544,,,,,-0.93321,,,,-4.26147,-8.39381,,,-3.9484,,,,-8.21225,,,,-2.64256,,,-9.66883,,,,-9.69853,0.682,-0.301,0.223,0.307,0.682,0.002354683215,16.472,8.236,0.015449,0.014295077005,-0.013117735397,0.015472418612,0.0156298,0.028590154009,-12.66205,-33.63894,-34.92992,-51.6028,11.31508,-9.81229,-25.96375,-35.30841,-32.05242,-32.89733,,,-10.92404,,-11.14198,,-13.78316,4.46099,4.32971,10.06932,2.99405,-14.48144,-14.41781,5.83735,-13.1492,-30.51262,-18.70045,-45.51071,-130.07924,-43.12758,-3.12718,-36.45755,-0.89209,-5.85249,-21.3015,-63.19394,-1.0954,-22.21571,-49.14136,1.38e-05,0.000119566,0.00978061,,0.000754069,,1.46022e-06,0.000471,0.0,1.12e-06,0.00060246,0.000436893,6.79e-06,2.43e-05,2.08e-07,2.42e-07,0.0142611,7.19e-05,,1.71e-07,0.00110134,5.31e-06
140724SE,2014,Yes,5.339490584,70.2,1.0,7.13,4.90E-04,0.5,0.000075,3.15E-06,4.41E-06,0.000739216,0.009702668,1.23E-05,0.001075011,,4.62E-08,1.16E-07,0.000419298,0.013951583,0.0000199,0.000589345,6.63E-06,0.000107982,,,,1.229e-05,1.0082000000000001e-25,6.8454e-18,1.9752e-27,1.7117e-43,2.6350999999999997e-44,5.1847e-05,6.941e-07,9.9228e-05,1.4731e-07,5.4475e-07,1.069e-09,3.7402e-07,4.2259e-07,4.0977e-11,8.0287e-09,7.2563e-06,0.0096769,1.9367e-18,1.8598e-27,1.9455e-24,1.9736000000000002e-25,,,,,,,,,,,,,,0.00073729,,,,,,,8.3512e-08,2.6062999999999997e-38,56.61214929372896,3.7203e-17,6.2606e-07,7.1845e-17,0.00043686,9.8235e-11,2.5773e-18,3.0577e-32,,1.7628e-07,4.1563e-11,,2.6271e-12,1.0594e-15,5.0167e-21,2.5239e-06,1.8641e-08,4.5877e-08,0.00058564,2.3357e-10,3.9732e-08,1.0354e-14,6.2147e-10,3.6639e-06,0.00041915,1.4327e-07,1.9577e-09,5.8743e-06,2.7882e-09,3.5316e-08,9.1303e-08,2.6087e-08,3.5414e-12,3.557e-09,5.966e-07,1.9141e-06,1.7986e-05,4.6197e-08,1.16e-07,0.013863,9.8807e-09,2.5052e-05,1.285e-06,1.1972e-08,1.7497e-08,6.2659e-05,7.5e-05,2.4559e-06,,0.0010008,1.6434e-28,4.3521e-06,7.13,,-4.75944,-4.01104,,,-2.89898,,,-7.75882,-2.67408,-3.5349,,,,-4.28085,,-3.89313,-3.89313,-4.43792,,-5.10334,-9.21463,,,,,-1.11137,,,,-4.43635,-8.80978,,,-4.616,,,,-9.16352,,,,-3.1649,,,,,,,,0.688,-0.286,0.236,0.33,0.688,0.0021592961713,15.4043,7.7022,0.0151241,0.0140174894,-0.012937841314,0.015097137485,0.0153668,0.0280349788,-12.09845,-32.18226,-33.89128,-49.95241,10.03241,-9.20226,-24.89877,-33.91635,-30.89786,-31.89164,,,-10.31925,,-10.54548,,-12.78481,3.83483,3.69565,8.81842,2.32099,-14.52121,-14.12354,5.21121,-12.79667,,-17.48989,-42.27448,-123.12631,-40.41776,-2.41881,-34.44514,-0.58594,-4.85714,-19.86648,-59.79378,-1.0387,-19.75083,-45.52524,1.23e-05,0.000107982,0.00970267,,0.000739216,,4.74474e-05,0.00049,,3.15e-06,0.000589345,0.000419298,6.63e-06,1.99e-05,4.62e-08,1.16e-07,0.0139516,7.5e-05,,,0.00107501,4.41e-06
140725SI,2014,Yes,0.156291694,59.2,1.0,9.034,3.10E-04,0.9,0.000075,1.22E-05,7.97E-06,0.001444002,0.007095758,1.00E-05,0.000173258,1.34E-07,1.55E-07,9.35E-08,0.000242746,0.013669713,0.00000319,0.000266795,,0.0000079,,,,9.9928e-06,1.2797e-29,3.9333e-18,7.824599999999999e-28,2.5553e-44,6.9875e-48,4.1075e-07,3.1486e-05,7.2789e-06,4.2325e-07,2.5945e-08,4.169e-11,4.7821e-08,1.8259e-08,1.7398e-10,2.0285e-08,8.5354e-08,0.0070789,6.896100000000001e-19,3.9608e-28,6.189600000000001e-25,8.1271e-26,,,,,,,,,,,,,,0.0014417,,,,,,,1.0287e-09,9.732399999999999e-40,56.270269720722645,1.2269e-17,4.462e-08,6.123900000000001e-19,0.00027766,9.1303e-13,1.2757e-20,6.4407e-35,,3.4642e-09,1.5247e-12,,1.2594e-13,8.4124e-18,9.8618e-20,1.2155e-05,2.8107e-11,2.8475e-06,0.00026651,7.3028e-11,1.0455e-08,5.321e-18,1.1773e-08,2.5988e-07,0.00024264,5.5792e-08,5.0277e-08,,,,,,,,,2.6332e-06,5.5679e-07,1.55e-07,9.35e-08,0.01364,7.0961e-09,1.6776e-05,2.2473e-06,9.1979e-07,7.7233e-07,9.4565e-06,7.5e-05,0.00011007,1.34e-07,0.00016346,3.6687e-34,4.2025e-06,9.034,,-4.51812,-6.97058,,,-2.12521,,,,-1.90739,-3.26125,,,,-4.00443,,-3.62506,-3.62506,-4.1827,,,,,,,,-1.8494,,,,-7.2375,-8.72807,,,,,,,,,,,-2.8912,,,,,,,-7.53633,0.587,-0.421,0.115,0.204,0.587,0.0048303313216,41.1136,20.5568,0.0119514,0.011748736049,-0.0093335703886,0.01416390171,0.0119646,0.023497472099,-14.08554,-37.97641,-36.1909,-52.67608,12.73107,-11.23526,-27.24491,-36.48573,-33.29269,-34.17442,,,-11.92548,,-12.64,,-13.99959,5.40456,5.36864,,2.72364,-15.89318,-16.11442,7.11536,-13.0427,-34.43666,-22.05821,-51.7071,-129.72863,-44.01017,-4.59388,-35.86972,-0.80114,-6.07123,-24.48484,-64.00291,-1.0639,-24.11738,-51.79988,1e-05,7.9e-06,0.00709576,,0.001444,,,0.00031,0.0,1.22e-05,0.000266795,0.000242746,,3.19e-06,1.55e-07,9.35e-08,0.0136697,7.5e-05,0.000148773,1.34e-07,0.000173258,7.97e-06
140725SJ,2014,No,0,64.6,1.0,9.044,3.58E-05,0.9,0.0000281,1.28E-05,7.41E-06,0.001432592,0.006979539,9.94E-06,0.000172341,1.23E-07,1.76E-07,7.42E-07,0.000249463,0.013703706,0.00000401,0.000276923,,0.0000107,,,,9.9324e-06,6.0189e-30,2.8513e-18,2.5652e-28,8.356000000000001e-45,6.9722e-48,4.612e-08,3.847e-06,1.0328e-05,8.3128e-08,3.932e-08,5.9464e-11,7.2886e-08,3.1514e-09,2.6235e-10,4.5815e-08,1.2766e-07,0.0069621,5.9587000000000005e-19,2.7108999999999997e-28,2.124e-25,1.5023e-26,,,,,,,,,,,,,,0.0014301,,,,,,,1.0057e-09,8.1929e-39,56.4326352494953,1.3097e-17,4.2139e-08,3.9958e-19,3.1821e-05,8.7239e-13,1.0249000000000001e-20,4.855400000000001e-35,,3.7569e-09,1.6812e-12,,1.3121e-13,7.3774e-17,1.2444e-19,1.2758e-05,3.2197e-11,2.8583e-06,0.00027661,8.312e-11,1.2174e-08,7.3974e-18,1.7536e-08,2.8114e-07,0.00024933,5.9494e-08,7.1658e-08,,,,,,,,,3.4791e-06,5.3094e-07,1.76e-07,7.42e-07,0.013672,7.5612e-09,1.7374e-05,2.3744e-06,8.3556e-07,1.0692e-06,9.9567e-06,2.81e-05,0.00015003,1.23e-07,0.00016198,2.1596e-34,3.7159e-06,9.044,,-4.73254,-6.73764,,,-3.24598,,,,-3.02471,-3.4921,,,,-4.23663,,-3.85318,-3.85318,-4.40434,,,,,,,,-1.66478,,,,-7.08167,-8.87914,,,,,,,,,,,-3.12208,,,,,,,-7.15235,0.565,-0.433,0.108,0.219,0.565,0.0052766145123,45.5624,22.7812,0.0117576,0.011581067924,-0.0089427606682,0.014219375181,0.0118006,0.023162135849,-14.09841,-38.31423,-36.68546,-53.17175,12.90222,-11.25272,-27.31859,-36.66063,-33.76744,-34.91784,,,-11.93921,,-13.59104,,-13.98881,5.43053,5.39027,,2.71281,-15.84823,-15.22505,7.12621,-12.91842,-34.5058,-22.08305,-51.95812,-127.57837,-44.00165,-5.50576,-34.94542,-0.69338,-6.06167,-21.32733,-61.15586,-1.4765,-23.98683,-50.76263,9.94e-06,1.07e-05,0.00697954,,0.00143259,,,3.58e-05,0.0,1.28e-05,0.000276923,0.000249463,,4.01e-06,1.76e-07,7.42e-07,0.0137037,2.81e-05,0.000162242,1.23e-07,0.000172341,7.41e-06
140725SK,2014,No,0,75.4,1.0,8.947,1.55E-03,1.6,0.0000188,2.62E-05,7.46E-06,0.001414253,0.006937317,9.15E-06,0.000159075,3.66E-08,9.24E-08,1.59E-07,0.000240192,0.013698295,0.000000833,0.000269682,,0.00000746,,,,9.142e-06,4.1948e-30,2.9735e-18,2.5229e-28,1.6956999999999999e-44,1.2249e-44,2.6049e-06,0.00014565,5.2359e-06,1.972e-06,2.3149e-08,3.2105e-11,4.2511e-08,7.9008e-08,1.5067e-10,4.2266e-08,6.4982e-08,0.0069183,9.5613e-19,5.7765e-28,2.5167000000000003e-25,1.1351e-26,,,,,,,,,,,,,,0.0014116,,,,,,,1.2644e-09,2.303e-37,56.78931275779278,3.051e-17,9.3783e-08,4.4905e-19,0.0013997,1.0892e-12,1.8852e-20,1.6424e-34,,5.7943e-09,2.6634e-12,,7.6801e-14,2.513e-17,3.0167e-19,2.6106e-05,5.1141e-11,2.9035e-06,0.00026937,8.9418e-11,1.5064e-08,1.5481e-17,2.5461e-08,2.7454e-07,0.00024003,6.3145e-08,9.6961e-08,,,,,,,,,7.5196e-07,8.104e-08,9.24e-08,1.59e-07,0.013664,7.8879e-09,1.8916e-05,2.6239e-06,6.9838e-07,1.4855e-06,1.0116e-05,1.88e-05,0.00020452,3.66e-08,0.00014862,3.2312e-34,3.8579e-06,8.947,,-4.96364,-7.25995,,,-1.13276,,,,-0.90445,-3.75286,,,,-4.50017,,-4.10847,-4.10847,-4.64763,,,,,,,,-2.22795,,,,-7.76167,-9.16777,,,,,,,,,,,-3.38288,,,,,,,-7.50347,0.54,-0.452,0.089,0.189,0.54,0.0036130498147,29.1891,14.5946,0.0126777,0.01237806724,-0.010571542333,0.014184592147,0.012584,0.02475613448,-14.0404,-38.37685,-36.59858,-52.77021,12.40215,-11.16144,-27.01904,-36.23789,-33.59965,-34.94545,,,-11.85078,,-11.85352,,-13.58374,5.31875,5.27397,,1.79611,-16.03388,-15.80004,7.02588,-12.68974,-34.76783,-21.93812,-51.60083,-121.19831,-40.74733,-3.68782,-33.50313,-0.48986,-5.65402,-21.4178,-59.26341,-1.6313,-23.048,-48.8971,9.15e-06,7.46e-06,0.00693732,,0.00141425,,,0.00155,0.0,2.62e-05,0.000269682,0.000240192,,8.33e-07,9.24e-08,1.59e-07,0.0136983,1.88e-05,0.000355446,3.66e-08,0.000159075,7.46e-06
140725SL,2014,No,0,67.9,1.0,9.015,5.45E-04,0.3,0.0000375,1.78E-05,6.37E-06,0.00143279,0.006978854,9.87E-06,0.000169529,1.32E-07,2.07E-07,3.79E-07,0.000232549,0.013280091,0.00000526,0.000258798,,0.00000733,,,,9.8623e-06,6.934800000000001e-30,3.6252e-18,4.8557e-28,2.4413999999999997e-44,2.7249999999999998e-46,7.5857e-07,5.6391e-05,6.3149e-06,7.9904e-07,2.5245e-08,3.7211e-11,4.675e-08,3.0577e-08,1.438e-10,3.3974e-08,7.9316e-08,0.0069614,8.522700000000001e-19,5.2161e-28,4.188200000000001e-25,3.1684e-26,,,,,,,,,,,,,,0.0014304,,,,,,,1.0763e-09,1.8856999999999999e-38,56.53755005311759,2.102e-17,5.9819e-08,5.1789e-19,0.00048702,9.3183e-13,1.5235e-20,1.0745e-34,,4.301e-09,1.9511e-12,,1.5905e-13,4.3387e-17,2.0318000000000002e-19,1.774e-05,3.7463e-11,2.4765e-06,0.0002585,8.1714e-11,1.2293e-08,8.8353e-18,1.868e-08,2.6608e-07,0.00023242,5.727e-08,7.4684e-08,,,,,,,,,4.6288e-06,6.3119e-07,2.07e-07,3.79e-07,0.013249,7.5696e-09,1.733e-05,2.3851e-06,6.6016e-07,1.155e-06,9.8145e-06,3.75e-05,0.00016609,1.32e-07,0.00015937,2.1172e-34,3.2332e-06,9.015,,-4.90664,-7.07849,,,-1.73827,,,,-1.51487,-3.6757,,,,-4.42106,,-4.0351,-4.0351,-4.58246,,,,,,,,-2.02032,,,,-7.47022,-8.98716,,,,,,,,,,,-3.30569,,,,,,,-7.54672,0.561,-0.44,0.098,0.202,0.561,0.0042355181365,36.4023,18.2011,0.0118578,0.011635305102,-0.0095175460341,0.013753064171,0.0118509,0.023270610205,-14.07304,-38.22424,-36.37988,-52.67763,12.62852,-11.22432,-27.1347,-36.34793,-33.44411,-34.56529,,,-11.91069,,-12.37773,,-13.81718,5.37153,5.33024,,2.75831,-15.74931,-15.48838,7.08298,-12.8458,-34.39311,-22.03429,-51.91094,-125.27562,-42.40545,-4.26817,-34.58474,-0.62953,-5.88993,-21.97644,-61.00984,-1.3441,-23.62663,-50.26852,9.87e-06,7.33e-06,0.00697885,,0.00143279,,,0.000545,0.0,1.78e-05,0.000258798,0.000232549,,5.26e-06,2.07e-07,3.79e-07,0.0132801,3.75e-05,0.000231499,1.32e-07,0.000169529,6.37e-06
140726SO,2014,No,0,50.9,1.0,6.122,3.37E-05,1,0.0000688,5.61E-07,7.17E-06,0.000950473,0.012496636,1.63E-05,0.003058206,4.21E-08,4.08E-08,3.88E-07,0.000478915,0.018778246,0.00000381,0.00106623,8.65E-06,0.000199562,,,,1.6286e-05,4.6342e-23,4.5979e-18,6.1473e-28,8.749e-45,2.1691e-47,1.8262e-05,2.1842e-09,0.0001734,4.4478e-10,8.5017e-07,2.4238e-09,5.8928e-07,1.9701e-08,6.1815e-12,2.647e-10,2.4699e-05,0.012461,6.458800000000001e-19,2.3398e-28,4.8086e-25,7.392e-26,,,,,,,,,,,,,,0.00094655,,,,,,,8.633e-07,7.384e-41,56.041797452461466,4.774e-18,4.3245e-07,6.5187e-16,1.5415e-05,1.2988e-09,1.0327e-17,2.5119e-32,,1.5161e-06,4.1844e-10,,2.92e-11,2.2788e-14,3.8054e-23,1.2855e-07,2.7839e-07,5.198e-09,0.0010518,3.7366e-10,5.4764e-08,1.5214e-13,3.1405e-11,1.4343e-05,0.00047875,1.6748e-07,7.1616e-11,7.091e-06,6.8222e-12,4.3318e-08,1.0666e-07,8.3817e-10,4.0859e-13,1.043e-10,1.408e-06,1.2968e-08,3.797e-06,4.0771e-08,3.88e-07,0.018564,1.3222e-08,3.4747e-05,1.7066e-06,2.5293e-09,7.5916e-10,0.00017811,6.88e-05,8.6883e-08,4.21e-08,0.0028394,3.3677e-23,7.1623e-06,6.122,,-3.9654,-3.25577,,,-6.49037,,,,-6.27777,-2.68106,,,,-3.42224,,-3.04909,-3.04909,-3.61733,,,,,,,,-0.40415,,,,-3.40681,-7.99027,,,-8.58416,,,,,,,,-2.31095,,,-9.02533,,,,,0.796,-0.166,0.37,0.448,0.796,0.0011502122384,5.7839,2.892,0.0229063,0.019886342192,-0.019311236073,0.020461448312,0.0234563,0.039772684385,-10.97632,-28.51922,-33.39795,-50.24323,8.22811,-8.0926,-24.37504,-33.81601,-30.50462,-31.31787,,,-9.21049,,-10.99725,,-13.07755,3.07112,2.73746,6.85767,0.62704,-13.57484,-12.59931,4.32079,-13.2477,-26.3386,-15.05327,-34.97915,-131.60804,-43.53949,-3.00972,-36.99064,-0.97518,-5.14381,-17.8432,-62.17451,-1.128,-19.42279,-46.1253,1.63e-05,0.000199562,0.0124966,,0.000950473,,2.12423e-05,3.37e-05,0.0,5.61e-07,0.00106623,0.000478915,8.65e-06,3.81e-06,4.08e-08,3.88e-07,0.0187782,6.88e-05,,4.21e-08,0.00305821,7.17e-06
