Sample,Year,AOA,AOA RA,Temperature,Pressure,H+,HCO3-,DOC,O2,HS-,SiO2,F-,Cl-,Br-,SO4-2,PO4-3,NO2-,NO3-,Li+,Na+,NH4+,K+,Mg+2,Ca+2,Fe+2,Fe+3,Cu+2
,,Yes/No,,degC,bar,pH,Molality,ppm,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality
190730VE,2019,No,0,82.6,1,3.6,8.41E-05,0.8,1.18E-05,1.75E-05,0.005992011,1.90E-04,1.19E-02,1.61E-05,1.18E-03,1.22E-07,0.00E+00,1.74E-07,2.94E-04,7.13E-03,8.45E-05,8.93E-04,4.51E-06,4.19E-05,1.67E-05,0,0
190730VF,2019,No,0,71.8,1,3.35,1.95E-04,0.8,2.39E-05,1.89E-05,0.005517643,2.44E-04,1.25E-02,1.70E-05,1.52E-03,,4.74E-07,9.02E-08,3.48E-04,5.34E-03,5.30E-05,1.00E-03,7.38E-06,6.06E-05,0,0,0
190730VG,2019,No,0,85.1,1,3.07,1.13E-05,0.7,1.08E-05,4.46E-06,0.005942077,6.24E-05,7.71E-03,1.05E-05,0.001655757,6.29E-06,2.17E-08,6.88E-07,4.28E-04,8.02E-03,1.11E-04,1.62E-03,1.01E-05,7.17E-05,2.75E-05,0,0
210715SA,2021,No,0,73.2,1,2.425,3.20E-04,0.523818589,1.31E-05,0.039882698,0.005376165,4.13E-05,1.99E-04,2.54E-07,6.76E-03,4.75E-07,2.47E-08,2.48E-07,8.11E-06,0.001873603,0.000178694,0.000660958,0.00008,0.000166915,4.82E-05,0,0
210716TG,2021,Yes,0.177765623,92.3,1,7.705,3.98E-04,0.496972114,1.26E-05,0.001231672,0.003079228,1.06E-03,5.14E-03,7.06E-06,1.33E-04,2.08E-07,3.02E-08,1.48E-07,1.60E-05,2.49E-03,6.63E-06,3.26E-04,2.40E-07,2.27E-05,1.06E-07,0,0
210724SL,2021,Yes,0.715706581,80.9,1,8.12,1.01E-03,0.212863713,0.000009375,0.000410557,0.003819907,1.15E-03,7.09E-03,9.67E-06,1.90E-04,5.97E-07,2.05E-07,5.94E-07,4.68E-04,1.23E-02,9.39E-07,3.70E-04,4.49E-07,1.25E-05,0,0,0
210724SK,2021,Yes,1.218014991,75,1,8.23,1.02E-03,0.127987498,0.00001875,0.000117302,0.004360852,1.16E-03,7.16E-03,9.81E-06,1.95E-04,4.30E-07,2.71E-07,2.97E-07,4.41E-04,1.17E-02,8.05E-07,3.45E-04,1.28E-07,1.44E-05,0,0,7.20E-09
210722SD,2021,Yes,0.226039264,54.1,1,9.325,6.54E-04,0.431461935,0,5.87E-05,0.004477364,1.42E-03,8.97E-03,1.28E-05,2.35E-04,2.13E-06,0.00E+00,1.03E-07,7.10E-04,1.18E-02,2.21E-07,3.21E-04,6.71E-07,1.13E-05,0,0,0
210720SY,2021,No,0,77.1,1,6.162,4.47E-04,1.116606511,0.0000125,0.001202346,0.007007324,1.03E-03,8.99E-03,1.14E-05,2.09E-03,7.67E-05,6.04E-08,1.54E-07,2.56E-04,1.05E-02,4.60E-06,8.03E-04,5.76E-05,1.80E-04,1.37E-06,0,0
210730TA,2021,No,0,85.1,1,7.141,1.97E-04,0.484605668,0.00000275,0.064553991,0.002596538,2.24E-04,3.73E-05,1.42E-08,3.42E-03,5.00E-05,7.74E-08,6.12E-08,6.65E-05,2.51E-03,3.11E-03,9.26E-04,3.67E-05,7.05E-04,0,0,0
210718TJ,2021,No,0,46.2,1,6.407,7.58E-04,2.097837648,0.000056875,0.01379108,0.003462051,1.92E-04,5.72E-03,,3.31E-03,3.94E-05,1.94E-07,8.63E-08,2.47E-04,6.78E-03,2.91E-02,1.92E-03,8.06E-04,1.54E-03,4.73E-05,0,0
210725SQ,2021,No,0,77,1,5.84,2.94E-04,1.736738167,0.000075,0.005897887,0.005600866,6.80E-04,8.20E-03,1.06E-05,2.21E-03,3.76E-08,3.80E-08,1.72E-06,0.000282848,0.011802102,1.23E-05,0.001068449,3.16E-05,0.000136053,7.22E-07,0,0
210725SR,2021,No,0,80.1,1,5.977,4.87E-04,1.360222086,1.96E-05,0.007717136,0.006857523,0.001376121,1.08E-02,1.87E-05,2.31E-03,5.83E-05,3.26E-10,2.89E-07,2.96E-04,1.14E-02,1.68E-06,9.17E-04,1.82E-05,1.05E-04,0,0,
210725TL,2021,No,0,82,1,4.292,3.47E-04,38.84602633,1.59E-06,0.339201878,0.005517643,0.000195946,6.12E-06,,2.44E-02,9.04E-06,1.81E-07,4.03E-07,,,,,,,6.40E-07,0,
