Sample,Year,AOA,AOA RA,Temperature,Pressure,H+,HCO3-,DOC,O2,HS-,SiO2,F-,Cl-,Br-,SO4-2,PO4-3,NO2-,NO3-,Li+,Na+,NH4+,K+,Mg+2,Ca+2,Fe+2,Fe+3,Cu+2
,,Yes/No,,degC,bar,pH,Molality,ppm,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality
140805SZ,2014,Yes,0.0395879,69.5,1,8.934,5.87E-04,0.4,0.0000375,4.24E-06,4.54E-06,0.001382609,0.008428813,1.16E-05,0.000202105,1.10E-07,7.77E-08,3.39E-07,0.000764652,0.015649591,0.00000252,0.000331571,5.86E-08,0.0000082,,0,
210715TA,2021,Yes,2.141823444,81.5,1,6.7,4.11E-05,0,2.53E-05,4.68E-07,5.09E-06,3.89E-04,1.82E-02,2.59E-05,1.01E-03,7.55E-07,2.17E-10,3.19E-07,1.27E-03,1.04E-02,1.70E-05,1.86E-03,5.59E-06,3.39E-04,5.97E-06,0.00E+00,0
210716SE,2021,Yes,1.753871913,74.6,1,8.541,5.91E-04,0.271929481,4.16E-05,2.81E-07,4.39E-06,1.26E-03,7.66E-03,1.06E-05,2.61E-04,1.97E-06,9.09E-08,3.80E-07,6.14E-04,1.34E-02,3.64E-07,2.66E-04,1.45E-07,1.36E-05,0,0,0
210716SG,2021,No,0,61.3,1,3.884,9.96E-05,0.294006259,2.42E-05,3.74E-07,,1.58E-05,7.93E-06,1.65E-08,3.37E-04,9.47E-08,5.43E-09,4.14E-07,1.64E-06,2.09E-04,5.39E-05,1.48E-04,4.22E-06,1.61E-05,2.43E-06,0.00E+00,1.21E-09
210721TR,2021,No,0,51.8,1,2.558,1.90E-03,1.022459205,0.000009125,1.28E-05,6.64E-06,0.000179263,3.59E-03,4.69E-06,5.51E-03,2.18E-06,2.39E-09,5.27E-08,1.85E-04,,1.90E-04,5.78E-04,1.56E-05,8.99E-05,5.06E-05,0,0
210721TS,2021,No,0,62.1,1,7.124,1.50E-03,0.391459975,0.00006875,6.70E-06,7.01E-06,0.001126694,6.60E-03,9.89E-06,2.22E-03,1.05E-04,2.09E-07,8.60E-08,7.62E-04,2.49E-02,2.33E-04,6.54E-04,1.39E-06,1.25E-04,0,0,1.71E-09
210722TW,2021,No,0,76.9,1,2.789,2.23E-04,0.638182952,3.34E-05,5.15E-06,7.99E-06,3.77E-04,1.77E-02,1.79E-05,2.97E-03,1.54E-05,1.09E-07,2.31E-06,5.59E-04,1.16E-02,5.29E-04,1.31E-03,1.13E-06,1.17E-04,4.47E-06,0,0
210722TX,2021,No,0,72.1,1,3.165,9.50E-06,0.172083824,0.00005875,9.67E-06,9.25E-06,7.68E-05,6.20E-03,1.18E-05,9.31E-04,1.34E-07,8.05E-08,3.31E-06,2.26E-04,5.01E-03,7.96E-05,8.60E-04,4.29E-06,3.80E-05,2.54E-05,0,0
210724TB,2021,No,0,71.8,1,8.276,5.57E-04,0,0.00005375,3.02E-05,8.01E-06,1.43E-03,7.35E-03,1.05E-05,1.79E-04,2.48E-05,0.00E+00,2.70E-07,2.39E-04,1.34E-02,3.36E-07,2.69E-04,1.65E-08,8.49E-06,0,0,0
210724TD,2021,No,0,71.5,1,8.051,1.05E-03,0.248489579,6.28E-05,1.53E-06,8.02E-06,1.43E-03,6.71E-03,8.84E-06,1.66E-04,9.01E-06,3.15E-09,6.91E-07,3.20E-04,1.29E-02,8.64E-07,3.06E-04,1.02E-07,1.02E-05,2.13E-05,0.00E+00,0
210725TJ,2021,No,0,69.1,1,6.24,1.13E-03,,1.84E-06,0.000258185,4.61E-06,4.14E-01,,2.32E-07,1.23E-02,1.09E-05,0.00E+00,4.87E-07,,0.001263185,0.029133557,0.000283484,0.000500566,0.000679765,0,0,0
210726SX,2021,Yes,4.099390025,69.8,1,7.275,4.55E-04,2.068935445,5.66E-05,2.21E-06,4.18E-06,1.03E-03,1.20E-02,1.57E-05,1.04E-03,2.57E-05,2.65E-07,1.67E-06,4.41E-04,1.34E-02,1.53E-05,5.78E-04,6.27E-06,1.10E-04,1.39E-06,0,3.31E-09
210726SY,2021,No,0,78.9,1,8.347,9.21E-04,0.801663296,2.32E-05,3.48E-05,4.93E-06,1.00E-03,1.12E-02,2.07E-05,1.15E-03,6.33E-05,2.17E-10,8.46E-07,4.65E-04,2.08E-02,2.47E-06,5.49E-04,1.83E-06,1.38E-05,1.37E-06,0,0
210727TT,2021,No,0,40.1,1,6.872,1.71E-05,0.127332399,0.000147813,3.43E-07,9.05E-06,8.57E-04,1.38E-02,2.43E-05,1.93E-03,6.79E-06,2.17E-10,5.52E-08,1.02E-03,2.23E-02,8.28E-05,9.49E-04,3.62E-06,1.78E-04,0,0.00E+00,0
210727TU,2021,No,0,39.8,1,2.71,1.26E-04,2.336611566,8.16E-06,1.17E-05,7.74E-06,1.74E-04,3.85E-03,6.71E-06,5.21E-03,1.91E-05,1.66E-07,5.54E-07,2.31E-04,9.72E-03,3.24E-05,1.30E-03,4.10E-05,2.54E-04,2.13E-05,0.00E+00,0
220721SB,2022,No,0,35,1,5.35,,,4.22E-05,4.24E-06,2.91E-06,2.55E-04,1.49E-03,1.67E-06,1.23E-03,4.47E-06,7.83E-09,6.46E-07,6.47E-05,3.25E-03,9.60E-06,5.17E-04,2.62E-04,4.79E-04,6.40E-06,0.00E+00,8.63E-09
220722SE,2022,No,0,81.2,1,6.705,,,1.26E-05,0.000130964,4.55E-06,0,3.85E-03,5.58E-06,1.23E-03,2.88E-07,4.31E-08,4.94E-07,1.72E-04,6.89E-03,1.75E-05,1.79E-04,1.43E-06,8.01E-06,8.16E-07,0,3.96E-09
220724TP,2022,No,0,49,1,2.979,,,0.000065625,3.40E-05,5.11E-06,2.38E-06,3.26E-06,2.03E-08,1.33E-02,3.07E-06,3.80E-07,2.76E-07,,1.54E-04,2.00E-02,1.17E-04,9.26E-05,9.27E-05,5.59E-05,0,3.48E-08
220726SR,2022,No,0,71.6,1,8.232,,,0.000059375,8.42E-07,5.74E-06,1.26E-03,6.98E-03,9.62E-06,1.89E-04,4.09E-07,2.70E-07,5.02E-07,4.78E-04,1.15E-02,5.66E-07,3.86E-04,2.83E-07,1.39E-05,0,0,0
220726SS,2022,Yes,0.460475825,76.6,1,8.349,,,3.59E-05,4.99E-07,5.85E-06,1.24E-03,6.95E-03,9.33E-06,1.55E-04,3.80E-07,4.48E-08,3.27E-07,4.19E-04,1.04E-02,6.47E-07,3.18E-04,3.89E-08,9.17E-06,0,0.00E+00,0
220730SF,2022,No,2.296296296,75.5,1,8.193,,,4.22E-05,7.80E-07,4.41E-06,3.51E-04,3.18E-05,6.57E-08,8.10E-05,8.48E-07,4.43E-07,1.33E-07,9.96E-06,1.75E-03,1.09E-05,3.54E-04,4.73E-07,7.62E-05,1.11E-07,0,0
220730SG,2022,No,0,58.1,1,4.403,,,9.84E-05,4.90E-06,4.24E-06,4.16E-05,1.40E-05,3.88E-08,4.55E-04,2.11E-07,5.98E-09,7.79E-08,2.00E-06,4.48E-04,1.61E-05,3.08E-04,1.25E-05,5.64E-05,2.43E-06,0.00E+00,1.21E-09
220731SN,2022,No,0,70.2,1,4.809,,,1.03E-06,1.18E-05,4.87E-06,6.20E-04,1.22E-02,2.22E-05,1.94E-03,1.29E-05,2.17E-10,1.69E-07,5.76E-04,1.47E-02,1.68E-04,6.51E-04,6.57E-06,1.05E-04,5.51E-06,0.00E+00,0
190718ZC,2019,No,0,78.8,1,7.875,1.11E-03,0.6,1.88E-05,2.93E-06,0.005525965,1.26E-03,6.53E-03,9.09E-06,1.80E-04,9.42E-06,5.54E-09,1.26E-07,3.33E-04,1.30E-02,9.03E-07,3.17E-04,6.76E-07,1.23E-05,0,0.00E+00,3.70E-09
190718ZD,2019,No,0,81.5,1,4.572,8.13E-05,35,0.00000525,0.000233138,0.004410786,,4.40E-03,6.93E-06,2.64E-03,9.11E-06,0.00E+00,4.72E-06,2.52E-04,9.21E-03,2.07E-04,2.30E-04,8.02E-06,2.79E-05,2.42E-06,0.00E+00,8.15E-09
190719ZE,2019,No,0,21.1,1,2.93,,0.8,0.000244688,1.50E-06,0.016910786,2.26E-03,1.67E-02,2.29E-05,6.02E-03,1.18E-06,0.00E+00,3.36E-07,0.000268007,0.012097373,8.24E-06,0.000918892,7.12E-05,0.000208002,9.91E-06,0,9.62E-09
190719ZF,2019,No,0,52.5,1,3.23,9.06E-05,0.48,0.000120313,1.50E-06,0.008305593,2.11E-03,2.25E-02,2.88E-05,5.25E-03,1.37E-06,0.00E+00,2.61E-07,9.59E-04,2.62E-02,8.72E-04,3.65E-03,3.27E-05,1.74E-04,1.38E-05,0.00E+00,3.06E-08
