C4,1.0000E-04,0.000,9.7313E-02,0.000,0.4114,6.1368E-08,
C4,2.6647E-04,0.000,0.2593,0.000,0.5031,7.4414E-08,
C4,5.5192E-04,0.000,0.2590,0.000,0.5032,1.2391E-03,
C4,6.6556E-04,0.000,0.2590,0.000,0.5045,1.2479E-03,
C4,6.6780E-04,0.000,0.2532,0.000,0.7846,4.2386E-03,
C4,1.0000E-03,0.000,0.2532,0.000,0.7846,4.2386E-03,
C4,1.3057E-03,0.000,0.2532,0.000,0.7842,4.2406E-03,
C4,1.3091E-03,0.000,0.2542,0.000,0.6503,4.9915E-03,
C4,3.1840E-03,0.000,0.2542,0.000,0.6503,4.9916E-03,
C4,1.0000E-02,0.000,0.5369,0.000,1.6309E-02,1.8477E-02,
C4,0.1000,0.000,0.7371,0.000,5.1579E-03,3.4446E-02,
C4,0.4955,0.000,0.8969,0.000,2.5818E-03,5.3143E-02,
C4,1.000,0.000,0.8969,0.000,2.5818E-03,5.3143E-02,
D1,EndTable:,C4,
D1,
D1,
D1,Table D1,Solute basis species(total molality),
D1,Xi,t(days),H+,Mg+2,SiO2,Fe+2,
D1,0.000,0.000,-1.1579E-09,1.0000E-18,1.0000E-18,1.0000E-18,
D1,6.0174E-13,0.000,-1.1603E-09,2.4071E-14,6.0174E-13,1.1770E-12,
D1,1.0000E-08,0.000,-1.9602E-09,4.0000E-10,1.0000E-08,1.1762E-12,
D1,1.0000E-07,0.000,-9.1602E-09,4.0000E-09,1.0000E-07,1.1687E-12,
D1,1.0000E-06,0.000,-8.1160E-08,4.0000E-08,1.0000E-06,1.1093E-12,
D1,1.0000E-05,0.000,-8.0116E-07,4.0000E-07,1.0000E-05,1.0021E-12,
D1,1.2936E-05,0.000,-1.0361E-06,5.1746E-07,1.2927E-05,9.9926E-13,
D1,1.0000E-04,0.000,-8.0012E-06,4.0000E-06,1.4633E-05,1.0978E-12,
D1,2.6647E-04,0.000,-2.1318E-05,1.0659E-05,1.7897E-05,1.3312E-12,
D1,5.5192E-04,0.000,-2.1340E-05,1.0647E-05,1.7900E-05,2.2166E-08,
D1,6.6556E-04,0.000,-2.1336E-05,1.0645E-05,1.7946E-05,2.2323E-08,
D1,6.6780E-04,0.000,-2.0971E-05,1.0409E-05,2.7909E-05,7.5824E-08,
D1,1.0000E-03,0.000,-2.0971E-05,1.0409E-05,2.7909E-05,7.5824E-08,
D1,1.3057E-03,0.000,-2.0971E-05,1.0409E-05,2.7894E-05,7.5860E-08,
D1,1.3091E-03,0.000,-2.1075E-05,1.0448E-05,2.3134E-05,8.9292E-08,
D1,3.1840E-03,0.000,-2.1076E-05,1.0448E-05,2.3130E-05,8.9294E-08,
D1,1.0000E-02,0.000,-4.4799E-05,2.2068E-05,5.8013E-07,3.3054E-07,
D1,0.1000,0.000,-6.1834E-05,3.0300E-05,1.8348E-07,6.1622E-07,
D1,0.4955,0.000,-7.5636E-05,3.6867E-05,9.1844E-08,9.5073E-07,
D1,1.000,0.000,-7.5636E-05,3.6867E-05,9.1844E-08,9.5073E-07,
D2,EndTable:,D1,
D2,
D2,
D2,Table D2,Solute basis species(total ppm: mg/kg.sol),
D2,Xi,t(days),H+,Mg+2,SiO2,Fe+2,
D2,0.000,0.000,-0.0000,0.0000,0.0000,0.0000,
D2,6.0174E-13,0.000,-0.0000,0.0000,0.0000,0.0000,
D2,1.0000E-08,0.000,-0.0000,0.0000,0.0006,0.0000,
D2,1.0000E-07,0.000,-0.0000,0.0001,0.0060,0.0000,
D2,1.0000E-06,0.000,-0.0001,0.0010,0.0601,0.0000,
D2,1.0000E-05,0.000,-0.0008,0.0097,0.6008,0.0000,
D2,1.2936E-05,0.000,-0.0010,0.0126,0.7767,0.0000,
D2,1.0000E-04,0.000,-0.0081,0.0972,0.8792,0.0000,
D2,2.6647E-04,0.000,-0.0215,0.2591,1.0753,0.0000,
D2,5.5192E-04,0.000,-0.0215,0.2588,1.0755,0.0012,
D2,6.6556E-04,0.000,-0.0215,0.2587,1.0783,0.0012,
D2,6.6780E-04,0.000,-0.0211,0.2530,1.6769,0.0042,
D2,1.0000E-03,0.000,-0.0211,0.2530,1.6769,0.0042,
D2,1.3057E-03,0.000,-0.0211,0.2530,1.6760,0.0042,
D2,1.3091E-03,0.000,-0.0212,0.2539,1.3900,0.0050,
D2,3.1840E-03,0.000,-0.0212,0.2539,1.3898,0.0050,
D2,1.0000E-02,0.000,-0.0452,0.5364,0.0349,0.0185,
D2,0.1000,0.000,-0.0623,0.7364,0.0110,0.0344,
D2,0.4955,0.000,-0.0762,0.8959,0.0055,0.0531,
D2,1.000,0.000,-0.0762,0.8959,0.0055,0.0531,
