C4,1.0000E-04,0.000,0.000,9.7313E-02,0.4720,7.7012E-08,
C4,3.0097E-04,0.000,0.000,0.2929,0.6079,3.9835E-03,
C4,3.6438E-04,0.000,0.000,0.3546,0.6501,2.9823E-03,
C4,3.6682E-04,0.000,0.000,0.3570,0.9625,9.0132E-03,
C4,4.0054E-04,0.000,0.000,0.3898,0.9923,7.8999E-03,
C4,7.0439E-04,0.000,0.000,0.3898,0.9918,7.9030E-03,
C4,7.0642E-04,0.000,0.000,0.3888,0.9055,8.5724E-03,
C4,1.0000E-03,0.000,0.000,0.3888,0.9055,8.5724E-03,
C4,1.6997E-03,0.000,0.000,0.3888,0.9054,8.5726E-03,
C4,1.0000E-02,0.000,0.000,0.8269,1.9838E-02,3.7349E-02,
C4,0.1000,0.000,0.000,1.112,7.0500E-03,6.9942E-02,
C4,0.2862,0.000,0.000,1.264,4.5542E-03,9.4248E-02,
C4,1.000,0.000,0.000,1.264,4.5542E-03,9.4248E-02,
D1,EndTable:,C4,
D1,
D1,
D1,Table D1,Solute basis species(total molality),
D1,Xi,t(days),H+,Mg+2,SiO2,Fe+2,
D1,0.000,0.000,-5.6446E-08,1.0000E-18,1.0000E-18,1.0000E-18,
D1,8.9930E-13,0.000,-5.6449E-08,3.5973E-14,8.9930E-13,1.7595E-12,
D1,1.0000E-08,0.000,-5.7249E-08,4.0000E-10,1.0000E-08,1.7580E-12,
D1,1.0000E-07,0.000,-6.4449E-08,4.0000E-09,1.0000E-07,1.7446E-12,
D1,1.0000E-06,0.000,-1.3645E-07,4.0000E-08,1.0000E-06,1.6353E-12,
D1,1.0000E-05,0.000,-8.5645E-07,4.0000E-07,1.0000E-05,1.3713E-12,
D1,1.4766E-05,0.000,-1.2377E-06,5.9064E-07,1.4757E-05,1.3488E-12,
D1,1.0000E-04,0.000,-8.0565E-06,4.0000E-06,1.6789E-05,1.3777E-12,
D1,3.0097E-04,0.000,-2.4277E-05,1.2039E-05,2.1622E-05,7.1260E-08,
D1,3.6438E-04,0.000,-2.9314E-05,1.4575E-05,2.3126E-05,5.3351E-08,
D1,3.6682E-04,0.000,-2.9725E-05,1.4673E-05,3.4236E-05,1.6124E-07,
D1,4.0054E-04,0.000,-3.2382E-05,1.6022E-05,3.5297E-05,1.4132E-07,
D1,7.0439E-04,0.000,-3.2382E-05,1.6021E-05,3.5282E-05,1.4138E-07,
D1,7.0642E-04,0.000,-3.2323E-05,1.5980E-05,3.2209E-05,1.5335E-07,
D1,1.0000E-03,0.000,-3.2323E-05,1.5980E-05,3.2209E-05,1.5335E-07,
D1,1.6997E-03,0.000,-3.2323E-05,1.5980E-05,3.2205E-05,1.5335E-07,
D1,1.0000E-02,0.000,-6.9370E-05,3.3989E-05,7.0567E-07,6.6814E-07,
D1,0.1000,0.000,-9.3997E-05,4.5719E-05,2.5078E-07,1.2512E-06,
D1,0.2862,0.000,-1.0738E-04,5.1975E-05,1.6201E-07,1.6861E-06,
D1,1.000,0.000,-1.0738E-04,5.1975E-05,1.6201E-07,1.6861E-06,
D2,EndTable:,D1,
D2,
D2,
D2,Table D2,Solute basis species(total ppm: mg/kg.sol),
D2,Xi,t(days),H+,Mg+2,SiO2,Fe+2,
D2,0.000,0.000,-0.0001,0.0000,0.0000,0.0000,
D2,8.9930E-13,0.000,-0.0001,0.0000,0.0000,0.0000,
D2,1.0000E-08,0.000,-0.0001,0.0000,0.0006,0.0000,
D2,1.0000E-07,0.000,-0.0001,0.0001,0.0060,0.0000,
D2,1.0000E-06,0.000,-0.0001,0.0010,0.0601,0.0000,
D2,1.0000E-05,0.000,-0.0009,0.0097,0.6008,0.0000,
D2,1.4766E-05,0.000,-0.0012,0.0144,0.8866,0.0000,
D2,1.0000E-04,0.000,-0.0081,0.0972,1.0088,0.0000,
D2,3.0097E-04,0.000,-0.0245,0.2926,1.2992,0.0040,
D2,3.6438E-04,0.000,-0.0295,0.3543,1.3895,0.0030,
D2,3.6682E-04,0.000,-0.0300,0.3566,2.0571,0.0090,
D2,4.0054E-04,0.000,-0.0326,0.3894,2.1208,0.0079,
D2,7.0439E-04,0.000,-0.0326,0.3894,2.1199,0.0079,
D2,7.0642E-04,0.000,-0.0326,0.3884,1.9352,0.0086,
D2,1.0000E-03,0.000,-0.0326,0.3884,1.9352,0.0086,
D2,1.6997E-03,0.000,-0.0326,0.3884,1.9350,0.0086,
D2,1.0000E-02,0.000,-0.0699,0.8261,0.0424,0.0373,
D2,0.1000,0.000,-0.0947,1.1112,0.0151,0.0699,
D2,0.2862,0.000,-0.1082,1.2631,0.0097,0.0942,
D2,1.000,0.000,-0.1082,1.2631,0.0097,0.0942,
D3,EndTable:,D2,
D3,
D3,
D3,Table D3,Solute basis species(total molarity),
D3,Xi,t(days),H+,Mg+2,SiO2,Fe+2,
D3,0.000,0.000,-5.6500E-08,1.0010E-18,1.0010E-18,1.0010E-18,
D3,8.9930E-13,0.000,-5.6503E-08,3.6008E-14,9.0016E-13,1.7612E-12,
D3,1.0000E-08,0.000,-5.7304E-08,4.0038E-10,1.0010E-08,1.7597E-12,
D3,1.0000E-07,0.000,-6.4511E-08,4.0038E-09,1.0010E-07,1.7463E-12,
D3,1.0000E-06,0.000,-1.3658E-07,4.0038E-08,1.0010E-06,1.6369E-12,
D3,1.0000E-05,0.000,-8.5727E-07,4.0038E-07,1.0010E-05,1.3726E-12,
D3,1.4766E-05,0.000,-1.2389E-06,5.9120E-07,1.4771E-05,1.3501E-12,
D3,1.0000E-04,0.000,-8.0642E-06,4.0038E-06,1.6806E-05,1.3790E-12,
D3,3.0097E-04,0.000,-2.4300E-05,1.2051E-05,2.1643E-05,7.1328E-08,
D3,3.6438E-04,0.000,-2.9342E-05,1.4589E-05,2.3148E-05,5.3402E-08,
D3,3.6682E-04,0.000,-2.9753E-05,1.4687E-05,3.4269E-05,1.6139E-07,
D3,4.0054E-04,0.000,-3.2413E-05,1.6037E-05,3.5331E-05,1.4146E-07,
D3,7.0439E-04,0.000,-3.2413E-05,1.6037E-05,3.5315E-05,1.4151E-07,
D3,7.0642E-04,0.000,-3.2354E-05,1.5995E-05,3.2239E-05,1.5350E-07,
D3,1.0000E-03,0.000,-3.2354E-05,1.5995E-05,3.2239E-05,1.5350E-07,
D3,1.6997E-03,0.000,-3.2354E-05,1.5995E-05,3.2236E-05,1.5350E-07,
D3,1.0000E-02,0.000,-6.9436E-05,3.4021E-05,7.0635E-07,6.6878E-07,
D3,0.1000,0.000,-9.4086E-05,4.5762E-05,2.5102E-07,1.2524E-06,
D3,0.2862,0.000,-1.0748E-04,5.2023E-05,1.6216E-07,1.6876E-06,
D3,1.000,0.000,-1.0748E-04,5.2023E-05,1.6216E-07,1.6876E-06,
D4,EndTable:,D3,
D4,
D4,
D4,Table D4,Solute basis species(total ppm: mg/L),
D4,Xi,t(days),H+,Mg+2,SiO2,Fe+2,
D4,0.000,0.000,-0.0001,0.0000,0.0000,0.0000,
D4,8.9930E-13,0.000,-0.0001,0.0000,0.0000,0.0000,
D4,1.0000E-08,0.000,-0.0001,0.0000,0.0006,0.0000,
D4,1.0000E-07,0.000,-0.0001,0.0001,0.0060,0.0000,
D4,1.0000E-06,0.000,-0.0001,0.0010,0.0601,0.0000,
D4,1.0000E-05,0.000,-0.0009,0.0097,0.6014,0.0000,
D4,1.4766E-05,0.000,-0.0012,0.0144,0.8875,0.0000,
D4,1.0000E-04,0.000,-0.0081,0.0973,1.0097,0.0000,
D4,3.0097E-04,0.000,-0.0245,0.2929,1.3004,0.0040,
D4,3.6438E-04,0.000,-0.0296,0.3546,1.3908,0.0030,
D4,3.6682E-04,0.000,-0.0300,0.3570,2.0590,0.0090,
D4,4.0054E-04,0.000,-0.0327,0.3898,2.1228,0.0079,
D4,7.0439E-04,0.000,-0.0327,0.3898,2.1219,0.0079,
D4,7.0642E-04,0.000,-0.0326,0.3888,1.9371,0.0086,
D4,1.0000E-03,0.000,-0.0326,0.3888,1.9371,0.0086,
D4,1.6997E-03,0.000,-0.0326,0.3888,1.9369,0.0086,
D4,1.0000E-02,0.000,-0.0700,0.8269,0.0424,0.0373,
D4,0.1000,0.000,-0.0948,1.1122,0.0151,0.0699,
D4,0.2862,0.000,-0.1083,1.2644,0.0097,0.0942,
D4,1.000,0.000,-0.1083,1.2644,0.0097,0.0942,
E1,EndTable:,D4,
E1,
E1,
E1,Table E1,Basis species(log true molality; log mole fraction for H2O, log fugacity for O2(g)),
E1,Xi,t(days),H2O,H+,Mg+2,SiO2,Fe+2,O2(g),
E1,0.000,0.000,-1.1557E-06,-7.000,-18.00,-18.00,-27.72,-0.6695,
E1,8.9930E-13,0.000,-1.1557E-06,-7.000,-13.44,-12.05,-21.47,-0.6695,
E1,1.0000E-08,0.000,-1.1557E-06,-7.001,-9.398,-8.002,-21.48,-0.6696,
E1,1.0000E-07,0.000,-1.1561E-06,-7.013,-8.398,-7.002,-21.50,-0.6697,
E1,1.0000E-06,0.000,-1.1602E-06,-7.120,-7.398,-6.003,-21.71,-0.6710,
E1,1.0000E-05,0.000,-1.2022E-06,-7.638,-6.398,-5.009,-22.75,-0.6842,
E1,1.4766E-05,0.000,-1.2242E-06,-7.749,-6.229,-4.842,-22.96,-0.6914,
E1,1.0000E-04,0.000,-9.7718E-07,-8.554,-5.398,-4.842,-24.53,-0.8450,
E1,3.0097E-04,0.000,-3.9686E-07,-9.030,-4.920,-4.842,-7.371,-73.30,
E1,3.6438E-04,0.000,-4.5591E-07,-9.111,-4.837,-4.842,-7.533,-73.30,
E1,3.6682E-04,0.000,-5.2411E-07,-9.050,-4.834,-4.650,-7.024,-75.61,
E1,4.0054E-04,0.000,-5.5529E-07,-9.087,-4.796,-4.650,-7.098,-75.61,
E1,7.0439E-04,0.000,-5.5520E-07,-9.087,-4.796,-4.650,-7.098,-75.61,
E1,7.0642E-04,0.000,-5.3740E-07,-9.103,-4.798,-4.696,-7.071,-75.98,
E1,1.0000E-03,0.000,-5.3740E-07,-9.103,-4.798,-4.696,-7.071,-75.98,
E1,1.6997E-03,0.000,-5.3738E-07,-9.103,-4.798,-4.696,-7.071,-75.98,
E1,1.0000E-02,0.000,-1.1514E-05,-9.627,-4.472,-6.630,-6.826,-83.71,
E1,0.1000,0.000,-1.2995E-04,-9.756,-4.344,-7.171,-6.721,-85.88,
E1,0.2862,0.000,-3.7446E-04,-9.811,-4.289,-7.401,-6.675,-86.80,
E1,1.000,0.000,-3.7446E-04,-9.811,-4.289,-7.401,-6.675,-86.80,
E2,EndTable:,E1,
E2,
E2,
E2,Table E2,Basis species(log activity; log fugacity for O2(g)),
E2,Xi,t(days),H2O,H+,Mg+2,SiO2,Fe+2,O2(g),
E2,0.000,0.000,-0.0000,-7.0000,-18.0007,-18.0020,-27.7192,-0.6695,
E2,8.9930E-13,0.000,-0.0000,-7.0000,-13.4447,-12.0481,-21.4738,-0.6695,
E2,1.0000E-08,0.000,-0.0000,-7.0013,-9.3987,-8.0020,-21.4764,-0.6696,
E2,1.0000E-07,0.000,-0.0000,-7.0127,-8.3987,-7.0021,-21.4992,-0.6697,
E2,1.0000E-06,0.000,-0.0000,-7.1199,-7.3989,-6.0026,-21.7133,-0.6710,
E2,1.0000E-05,0.000,-0.0000,-7.6386,-6.4002,-5.0087,-22.7473,-0.6842,
E2,1.4766E-05,0.000,-0.0000,-7.7496,-6.2314,-4.8422,-22.9676,-0.6914,
